feature,norm vs. cyst,norm vs. hema,norm vs. meta,cyst vs. hema,cyst vs. meta,hema vs. meta
original_firstorder_10Percentile,1.0,1.0,1.0,1.0,1.0,0.9417
original_firstorder_90Percentile,1.0,1.0,1.0,1.0,1.0,0.8527
original_firstorder_Energy,1.0,1.0,1.0,1.0,1.0,0.8165
original_firstorder_Entropy,0.7592,0.9054,0.5869,0.9976,0.7041,0.9854
original_firstorder_InterquartileRange,0.755,0.8233,0.5937,0.9854,0.6874,0.9274
original_firstorder_Kurtosis,0.5647,0.8476,0.519,0.8354,0.5863,0.8615
original_firstorder_Maximum,1.0,0.9965,1.0,1.0,0.9958,0.9799
original_firstorder_MeanAbsoluteDeviation,0.7577,0.8886,0.5946,0.9988,0.7091,0.9812
original_firstorder_Mean,1.0,1.0,1.0,1.0,1.0,0.8269
original_firstorder_Median,1.0,1.0,1.0,1.0,1.0,0.9095
original_firstorder_Minimum,1.0,1.0,1.0,0.9248,0.9954,0.9466
original_firstorder_Range,0.5345,0.9806,0.6849,0.965,0.5984,0.993
original_firstorder_RobustMeanAbsoluteDeviation,0.757,0.8459,0.6011,0.9957,0.6926,0.957
original_firstorder_RootMeanSquared,1.0,1.0,1.0,1.0,1.0,0.8165
original_firstorder_Skewness,0.5888,0.9184,0.5404,0.9131,0.5498,0.9092
original_firstorder_Uniformity,0.7757,0.85,0.5893,0.9903,0.7006,0.9324
original_firstorder_Variance,0.7544,0.9134,0.5873,0.9985,0.7046,0.9911
original_glcm_Autocorrelation,0.5431,0.7499,0.6584,0.8009,0.5513,0.7274
original_glcm_ClusterProminence,0.7289,0.9547,0.559,0.9983,0.7348,0.9976
original_glcm_ClusterShade,0.5063,0.9521,0.5492,0.9697,0.5407,0.9603
original_glcm_ClusterTendency,0.751,0.9271,0.5542,0.9991,0.7521,0.9942
original_glcm_Contrast,0.6945,0.5093,0.7395,0.7045,0.5914,0.7427
original_glcm_Correlation,0.6347,0.9895,0.6844,0.9995,0.8829,0.9875
original_glcm_DifferenceAverage,0.6958,0.5304,0.7427,0.6947,0.5915,0.7386
original_glcm_DifferenceEntropy,0.7001,0.5131,0.7458,0.7289,0.5963,0.7544
original_glcm_DifferenceVariance,0.6959,0.5181,0.7393,0.7271,0.5943,0.7502
original_glcm_Id,0.6962,0.5396,0.7453,0.6879,0.5909,0.735
original_glcm_Idm,0.6956,0.5354,0.7441,0.6905,0.591,0.7354
original_glcm_Idmn,0.5712,0.9391,0.5043,0.8603,0.5489,0.951
original_glcm_Idn,0.607,0.9238,0.5959,0.7943,0.5259,0.8751
original_glcm_Imc1,0.5759,0.9664,0.7664,0.9902,0.8657,0.8623
original_glcm_Imc2,0.6376,0.9827,0.6833,0.998,0.8982,0.9822
original_glcm_InverseVariance,0.6886,0.5559,0.7485,0.6697,0.5933,0.7291
original_glcm_JointAverage,0.5369,0.7481,0.664,0.7955,0.5532,0.6806
original_glcm_JointEnergy,0.7635,0.717,0.6794,0.9246,0.573,0.8535
original_glcm_JointEntropy,0.7509,0.8325,0.6574,0.9782,0.586,0.9359
original_glcm_MCC,0.6431,0.9912,0.6832,0.9992,0.9018,0.9893
original_glcm_MaximumProbability,0.7706,0.558,0.7395,0.764,0.5298,0.7297
original_glcm_SumAverage,0.5369,0.7481,0.664,0.7955,0.5532,0.6806
original_glcm_SumEntropy,0.7546,0.9119,0.5948,0.9984,0.6951,0.9879
original_glcm_SumSquares,0.7585,0.8981,0.599,0.9963,0.683,0.9819
original_glrlm_GrayLevelNonUniformity,0.5198,1.0,0.9694,0.5198,0.5198,1.0
original_glrlm_GrayLevelNonUniformityNormalized,0.6889,0.922,0.5815,0.9992,0.6626,0.9915
