feature,ICC,Average AUC,Combined Score
original_firstorder_Median,0.9991,0.9849,0.992
original_firstorder_10Percentile,0.9872,0.9903,0.9888
original_firstorder_Mean,0.9991,0.9712,0.9852
original_firstorder_Energy,0.9992,0.9694,0.9843
original_firstorder_RootMeanSquared,0.9992,0.9694,0.9843
original_firstorder_90Percentile,0.9912,0.9754,0.9833
original_firstorder_Maximum,0.9444,0.9954,0.9699
original_firstorder_Minimum,0.9351,0.9778,0.9564
original_gldm_DependenceNonUniformity,0.9972,0.7538,0.8755
original_ngtdm_Coarseness,0.9959,0.754,0.875
original_glrlm_GrayLevelNonUniformity,0.988,0.7548,0.8714
original_gldm_GrayLevelNonUniformity,0.9635,0.7456,0.8546
original_glszm_GrayLevelNonUniformity,0.9456,0.7532,0.8494
original_glcm_MCC,0.8304,0.868,0.8492
original_glcm_Correlation,0.8228,0.8631,0.843
original_glcm_ClusterShade,0.935,0.7464,0.8407
original_glcm_Imc2,0.7906,0.8637,0.8272
original_glcm_Idmn,0.8646,0.7291,0.7969
original_glszm_SizeZoneNonUniformity,0.7874,0.7628,0.7751
original_firstorder_Skewness,0.8057,0.7366,0.7712
original_glrlm_RunLengthNonUniformity,0.7834,0.7512,0.7673
original_glszm_ZoneEntropy,0.7366,0.7743,0.7554
original_ngtdm_Busyness,0.8179,0.6886,0.7532
original_glszm_LargeAreaHighGrayLevelEmphasis,0.7719,0.7166,0.7443
original_firstorder_Kurtosis,0.7439,0.7024,0.7232
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.7842,0.6492,0.7167
original_glcm_Imc1,0.5922,0.8378,0.715
original_ngtdm_Strength,0.7199,0.6941,0.707
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.7502,0.6617,0.706
original_glrlm_RunEntropy,0.6254,0.7724,0.6989
original_ngtdm_Contrast,0.661,0.6732,0.6671
original_glszm_ZoneVariance,0.5796,0.6943,0.637
original_glszm_LargeAreaEmphasis,0.5736,0.6961,0.6348
original_glcm_ClusterProminence,0.3833,0.8289,0.6061
original_firstorder_Range,0.4177,0.7927,0.6052
original_glrlm_ShortRunLowGrayLevelEmphasis,0.5724,0.6256,0.599
original_glcm_Idn,0.473,0.7203,0.5966
original_glrlm_LongRunHighGrayLevelEmphasis,0.4944,0.6691,0.5818
original_glszm_SizeZoneNonUniformityNormalized,0.5211,0.5958,0.5584
original_glcm_ClusterTendency,0.2834,0.8296,0.5565
original_glrlm_GrayLevelVariance,0.2945,0.813,0.5538
original_glszm_LargeAreaLowGrayLevelEmphasis,0.3727,0.7076,0.5402
original_glrlm_GrayLevelNonUniformityNormalized,0.2598,0.8076,0.5337
original_ngtdm_Complexity,0.2971,0.7681,0.5326
original_gldm_DependenceEntropy,0.2344,0.829,0.5317
original_firstorder_Variance,0.2242,0.8249,0.5246
original_gldm_GrayLevelVariance,0.2215,0.8254,0.5234
original_glszm_SmallAreaLowGrayLevelEmphasis,0.3966,0.6468,0.5217
original_glszm_GrayLevelVariance,0.2355,0.7934,0.5144
original_glcm_SumSquares,0.2054,0.8195,0.5124
original_firstorder_MeanAbsoluteDeviation,0.1945,0.8217,0.5081
original_glcm_SumEntropy,0.1897,0.8238,0.5068
original_firstorder_Entropy,0.1886,0.8231,0.5058
original_firstorder_RobustMeanAbsoluteDeviation,0.1814,0.8082,0.4948
original_gldm_LowGrayLevelEmphasis,0.3436,0.6458,0.4947
original_glszm_HighGrayLevelZoneEmphasis,0.3159,0.6659,0.4909
original_glrlm_LowGrayLevelRunEmphasis,0.3337,0.642,0.4878
original_firstorder_InterquartileRange,0.1792,0.7954,0.4873
original_glszm_LowGrayLevelZoneEmphasis,0.3411,0.626,0.4836
original_glrlm_HighGrayLevelRunEmphasis,0.2851,0.6637,0.4744
original_glcm_Autocorrelation,0.2761,0.6718,0.474
original_gldm_HighGrayLevelEmphasis,0.2737,0.6687,0.4712
original_firstorder_Uniformity,0.1332,0.8064,0.4698
original_glcm_SumAverage,0.2739,0.663,0.4684
original_glcm_JointAverage,0.2739,0.663,0.4684
original_glszm_SmallAreaHighGrayLevelEmphasis,0.2614,0.6612,0.4613
original_glszm_GrayLevelNonUniformityNormalized,0.1641,0.7561,0.4601
original_glcm_JointEntropy,0.1113,0.7902,0.4508
original_glrlm_ShortRunHighGrayLevelEmphasis,0.1639,0.6857,0.4248
original_glcm_JointEnergy,0.0589,0.7518,0.4054
original_glszm_SmallAreaEmphasis,0.2297,0.5725,0.4011
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.1254,0.6742,0.3998
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0876,0.688,0.3878
original_glszm_ZonePercentage,0.1706,0.6004,0.3855
original_glcm_MaximumProbability,0.0703,0.6819,0.3761
original_gldm_SmallDependenceEmphasis,0.103,0.6393,0.3712
original_glrlm_ShortRunEmphasis,0.0781,0.6483,0.3632
original_glrlm_RunLengthNonUniformityNormalized,0.0776,0.6398,0.3587
original_glrlm_LongRunLowGrayLevelEmphasis,0.0439,0.6723,0.3581
original_glcm_DifferenceEntropy,0.0359,0.6731,0.3545
original_glcm_DifferenceVariance,0.0376,0.6708,0.3542
original_glrlm_RunPercentage,0.0652,0.6373,0.3512
original_glcm_DifferenceAverage,0.0362,0.6656,0.3509
original_glcm_Id,0.0356,0.6658,0.3507
original_glcm_Idm,0.0358,0.6653,0.3506
original_glcm_Contrast,0.0372,0.6637,0.3504
original_glcm_InverseVariance,0.0342,0.6642,0.3492
original_gldm_LargeDependenceEmphasis,0.0599,0.6352,0.3475
original_glrlm_RunVariance,0.0619,0.6327,0.3473
original_glrlm_LongRunEmphasis,0.0595,0.6288,0.3442
original_gldm_DependenceVariance,0.0314,0.5651,0.2982
original_gldm_DependenceNonUniformityNormalized,-0.0125,0.5467,0.2671
