feature,norm vs. cyst,norm vs. hema,norm vs. meta,cyst vs. hema,cyst vs. meta,hema vs. meta
original_firstorder_10Percentile_idx0,0.649,0.5164,0.7157,0.6903,0.5923,0.7506
original_firstorder_10Percentile_idx1,0.5671,0.5996,0.9015,0.7108,0.8908,0.9505
original_firstorder_10Percentile_idx2,0.5888,0.5538,0.8815,0.6685,0.8222,0.9492
original_firstorder_10Percentile_idx3,0.5445,0.502,0.7167,0.5335,0.6682,0.7792
original_firstorder_10Percentile_idx4,0.5277,0.5604,0.5286,0.6168,0.5149,0.6116
original_firstorder_10Percentile_idx5,0.5579,0.6233,0.6171,0.6925,0.5587,0.7458
original_firstorder_10Percentile_idx6,0.5249,0.5833,0.5935,0.6314,0.5811,0.6692
original_firstorder_10Percentile_idx7,0.5405,0.5403,0.5492,0.527,0.5988,0.6162
original_firstorder_10Percentile_idx8,0.6259,0.5711,0.7532,0.5934,0.6381,0.7543
original_firstorder_10Percentile_idx9,0.5701,0.5029,0.9727,0.6078,0.9671,0.9996
original_firstorder_10Percentile_idx10,0.52,0.5585,0.9193,0.5003,0.9221,0.9903
original_firstorder_10Percentile_idx11,0.5089,0.5452,0.6926,0.5425,0.7552,0.8702
original_firstorder_10Percentile_idx12,0.592,0.5442,0.5943,0.6341,0.5815,0.5704
original_firstorder_10Percentile_idx13,0.5671,0.5073,0.6212,0.6134,0.5444,0.653
original_firstorder_10Percentile_idx14,0.5411,0.643,0.6047,0.5577,0.5225,0.5149
original_firstorder_10Percentile_idx15,0.6503,0.6515,0.5954,0.5001,0.5541,0.5308
original_firstorder_10Percentile_idx16,0.6345,0.7296,0.9063,0.6409,0.8578,0.8381
original_firstorder_10Percentile_idx17,0.5526,0.6359,0.9991,0.6393,0.9878,1.0
original_firstorder_10Percentile_idx18,0.6116,0.6376,0.9945,0.5322,0.9886,1.0
original_firstorder_10Percentile_idx19,0.619,0.621,0.8537,0.5182,0.9805,0.9965
original_firstorder_10Percentile_idx20,0.6963,0.6566,0.5278,0.6109,0.8757,0.9298
original_firstorder_10Percentile_idx21,0.6922,0.6261,0.5348,0.6777,0.723,0.6163
original_firstorder_10Percentile_idx22,0.5293,0.6433,0.6998,0.6639,0.6973,0.6083
original_firstorder_10Percentile_idx23,0.6624,0.7472,0.646,0.5994,0.5066,0.568
original_firstorder_90Percentile_idx0,0.6471,0.8332,0.8333,0.7322,0.7542,0.5359
original_firstorder_90Percentile_idx1,0.5625,0.689,0.9081,0.5958,0.9101,0.9088
original_firstorder_90Percentile_idx2,0.5104,0.5557,0.8164,0.6038,0.9082,0.9283
original_firstorder_90Percentile_idx3,0.5547,0.571,0.652,0.7241,0.7955,0.6556
original_firstorder_90Percentile_idx4,0.589,0.6996,0.5028,0.831,0.6381,0.7816
original_firstorder_90Percentile_idx5,0.608,0.8428,0.6221,0.8553,0.5029,0.9394
original_firstorder_90Percentile_idx6,0.5324,0.9186,0.6576,0.8601,0.637,0.9428
original_firstorder_90Percentile_idx7,0.6373,0.9154,0.5173,0.8571,0.6313,0.902
original_firstorder_90Percentile_idx8,0.7135,0.9449,0.9165,0.8853,0.8235,0.5912
original_firstorder_90Percentile_idx9,0.5139,0.7875,0.927,0.8011,0.9474,0.9136
original_firstorder_90Percentile_idx10,0.5847,0.5953,0.819,0.8229,0.954,0.9343
