,feature,Average AUC,F
6,Maximum,0.7972125,11
2,Energy,0.7943875,12
11,Range,0.7936125,9
16,Variance,0.7819333333333333,8
1,90Percentile,0.7755124999999999,9
3,Entropy,0.7734916666666667,6
7,MeanAbsoluteDeviation,0.7699958333333333,6
13,RootMeanSquared,0.7670291666666668,7
14,Skewness,0.7603749999999999,8
15,Uniformity,0.7513083333333334,4
8,Mean,0.74645,5
12,RobustMeanAbsoluteDeviation,0.7428083333333332,3
5,Kurtosis,0.7327750000000001,4
4,InterquartileRange,0.7325708333333333,2
10,Minimum,0.713025,2
9,Median,0.7091500000000001,2
0,10Percentile,0.6676208333333333,1
