feature,ICC,Average AUC,Combined Score
original_firstorder_Variance_idx23,0.956,0.9285,0.9422
original_firstorder_Range_idx23,0.9211,0.9394,0.9302
original_firstorder_Maximum_idx23,0.9151,0.941,0.928
original_firstorder_Variance_idx16,0.9289,0.9263,0.9276
original_firstorder_Skewness_idx9,0.9855,0.8632,0.9244
original_firstorder_Maximum_idx16,0.8934,0.9441,0.9188
original_firstorder_MeanAbsoluteDeviation_idx23,0.9137,0.9146,0.9142
original_firstorder_Maximum_idx22,0.9291,0.8949,0.912
original_firstorder_Range_idx22,0.9364,0.8874,0.9119
original_firstorder_Range_idx16,0.8975,0.9238,0.9106
original_firstorder_MeanAbsoluteDeviation_idx16,0.9018,0.9111,0.9064
original_firstorder_Kurtosis_idx9,0.9796,0.8326,0.9061
original_firstorder_Skewness_idx18,0.9563,0.8454,0.9008
original_firstorder_Skewness_idx1,0.9572,0.8371,0.8972
original_firstorder_Skewness_idx20,0.9695,0.8244,0.897
original_firstorder_Variance_idx21,0.9627,0.8265,0.8946
original_firstorder_Skewness_idx10,0.9597,0.8273,0.8935
original_firstorder_10Percentile_idx18,0.9843,0.7941,0.8892
original_firstorder_Variance_idx22,0.9634,0.814,0.8887
original_firstorder_10Percentile_idx17,0.9715,0.8024,0.887
original_firstorder_Skewness_idx17,0.9596,0.8125,0.886
original_firstorder_90Percentile_idx23,0.8582,0.9081,0.8832
original_firstorder_Range_idx21,0.9462,0.8191,0.8826
original_firstorder_Minimum_idx19,0.9347,0.8298,0.8822
original_firstorder_Variance_idx20,0.9439,0.8205,0.8822
original_firstorder_RobustMeanAbsoluteDeviation_idx23,0.8895,0.8732,0.8814
original_firstorder_Minimum_idx18,0.9337,0.8284,0.881
original_firstorder_Minimum_idx17,0.9794,0.7786,0.879
original_firstorder_Mean_idx17,0.8901,0.8676,0.8788
original_firstorder_RootMeanSquared_idx17,0.8658,0.8916,0.8787
original_firstorder_Maximum_idx21,0.939,0.8181,0.8786
original_firstorder_Energy_idx23,0.8928,0.8638,0.8783
original_firstorder_Skewness_idx19,0.9306,0.8249,0.8778
original_firstorder_RobustMeanAbsoluteDeviation_idx16,0.8846,0.8695,0.8771
original_firstorder_MeanAbsoluteDeviation_idx21,0.9357,0.8181,0.8769
original_firstorder_Skewness_idx21,0.9705,0.7803,0.8754
original_firstorder_Kurtosis_idx1,0.9414,0.8085,0.875
original_firstorder_90Percentile_idx16,0.865,0.8845,0.8748
original_firstorder_Range_idx19,0.9069,0.8373,0.8721
original_firstorder_Kurtosis_idx20,0.9386,0.8045,0.8716
original_firstorder_Entropy_idx23,0.8185,0.9247,0.8716
original_firstorder_Energy_idx16,0.8345,0.9008,0.8676
original_firstorder_Maximum_idx20,0.928,0.8053,0.8666
original_firstorder_Maximum_idx17,0.8545,0.8771,0.8658
original_firstorder_Kurtosis_idx8,0.9284,0.8016,0.865
original_firstorder_Entropy_idx16,0.8248,0.9051,0.865
original_firstorder_MeanAbsoluteDeviation_idx20,0.9093,0.8194,0.8644
original_firstorder_Maximum_idx19,0.8965,0.8317,0.8641
original_firstorder_InterquartileRange_idx23,0.8753,0.852,0.8636
original_firstorder_Skewness_idx11,0.9571,0.7675,0.8623
original_firstorder_RobustMeanAbsoluteDeviation_idx21,0.9258,0.7987,0.8622
original_firstorder_10Percentile_idx19,0.9592,0.7648,0.862
original_firstorder_Skewness_idx12,0.9519,0.7717,0.8618
original_firstorder_RootMeanSquared_idx16,0.8212,0.9022,0.8617
original_firstorder_MeanAbsoluteDeviation_idx22,0.9262,0.7965,0.8614
