feature,norm vs. cyst,norm vs. hema,norm vs. meta,cyst vs. hema,cyst vs. meta,hema vs. meta
ft0,0.5856,0.5331,0.5549,0.5577,0.5346,0.5151
ft1,0.5401,0.5402,0.6686,0.5823,0.7069,0.6339
ft2,0.5862,0.5563,0.6617,0.5278,0.5771,0.6015
ft3,0.591,0.5463,0.6436,0.6348,0.545,0.7023
ft4,0.5376,0.6207,0.5249,0.6614,0.5076,0.6577
ft5,0.5543,0.5548,0.606,0.6024,0.5567,0.6489
ft6,0.5871,0.5908,0.5095,0.6639,0.5875,0.607
ft7,0.5386,0.5883,0.5124,0.5548,0.523,0.5798
ft8,0.5118,0.5564,0.5438,0.5713,0.5305,0.6051
ft9,0.5363,0.6856,0.6794,0.7183,0.7203,0.5201
ft10,0.5161,0.5283,0.6337,0.5391,0.6431,0.6055
ft11,0.6451,0.5542,0.5358,0.6945,0.6253,0.5862
ft12,0.5494,0.5268,0.5566,0.5706,0.6016,0.5288
ft13,0.5482,0.5603,0.7708,0.606,0.7171,0.8229
ft14,0.6351,0.5369,0.5036,0.609,0.6283,0.529
ft15,0.6046,0.5556,0.5054,0.6551,0.5993,0.5634
ft16,0.5312,0.5416,0.7616,0.577,0.7513,0.7979
ft17,0.6206,0.7106,0.7417,0.7943,0.6135,0.8763
ft18,0.5976,0.5625,0.5715,0.6593,0.5267,0.6358
ft19,0.5568,0.5552,0.507,0.5012,0.5513,0.5502
ft20,0.532,0.6549,0.9523,0.6195,0.9339,0.8888
ft21,0.5065,0.6704,0.7098,0.67,0.7141,0.5382
ft22,0.5481,0.6073,0.5864,0.6454,0.5306,0.6833
ft23,0.6582,0.6627,0.9266,0.5059,0.8229,0.8443
ft24,0.5382,0.6517,0.6145,0.6127,0.5806,0.5432
ft25,0.5927,0.5128,0.575,0.6067,0.6703,0.5748
ft26,0.5113,0.6318,0.5788,0.6108,0.5826,0.6893
ft27,0.5478,0.6887,0.6793,0.7253,0.7197,0.5093
ft28,0.5589,0.536,0.529,0.5205,0.5877,0.5606
ft29,0.5353,0.6179,0.6423,0.6579,0.6085,0.7633
ft30,0.5315,0.6002,0.5234,0.5621,0.5594,0.6212
ft31,0.5415,0.5144,0.6163,0.5324,0.5613,0.5954
ft32,0.5351,0.5619,0.5452,0.5288,0.5796,0.6191
ft33,0.533,0.6232,0.589,0.6545,0.5562,0.7037
ft34,0.605,0.59,0.5526,0.6915,0.5625,0.6439
ft35,0.5533,0.5454,0.5543,0.5975,0.5077,0.6029
ft36,0.5814,0.5314,0.6581,0.5475,0.5807,0.622
ft37,0.5476,0.5238,0.5006,0.5249,0.5564,0.5317
ft38,0.5509,0.5972,0.6056,0.6438,0.6518,0.5125
ft39,0.5804,0.5173,0.5229,0.6028,0.5625,0.5477
ft40,0.5906,0.5387,0.6663,0.5638,0.5714,0.6386
ft41,0.5987,0.5013,0.523,0.6132,0.6353,0.5231
ft42,0.6691,0.6438,0.7686,0.5294,0.8853,0.8726
ft43,0.6481,0.5601,0.5166,0.7049,0.6325,0.5802
ft44,0.6127,0.7152,0.5978,0.7968,0.5058,0.7865
ft45,0.5568,0.5209,0.5032,0.5828,0.5666,0.5261
ft46,0.5202,0.5972,0.5642,0.569,0.5842,0.6509
ft47,0.6732,0.5925,0.644,0.7486,0.772,0.5442
ft48,0.5001,0.5486,0.5456,0.548,0.5415,0.5853
ft49,0.562,0.5026,0.5555,0.5577,0.6177,0.5622
ft50,0.5622,0.5258,0.6428,0.5892,0.5815,0.6679
ft51,0.5219,0.5064,0.6351,0.5174,0.6065,0.6237
ft52,0.5471,0.5747,0.6848,0.5319,0.6318,0.6098
ft53,0.562,0.5028,0.5378,0.5665,0.5214,0.5495
ft54,0.6014,0.538,0.6087,0.5654,0.5032,0.5733
ft55,0.5291,0.5523,0.5654,0.5228,0.6016,0.619
ft56,0.5054,0.5019,0.6391,0.5081,0.6281,0.6432
ft57,0.5397,0.6667,0.5482,0.6203,0.5063,0.6211
ft58,0.5409,0.513,0.5502,0.5476,0.5029,0.557
ft59,0.5455,0.5844,0.5721,0.5302,0.6077,0.6503
ft60,0.5039,0.6014,0.6916,0.6106,0.7035,0.6046
ft61,0.6801,0.5157,0.5318,0.6766,0.6616,0.5069
ft62,0.6909,0.643,0.6786,0.5745,0.5428,0.5375
ft63,0.5218,0.6576,0.5034,0.6224,0.5209,0.6491
ft64,0.5474,0.5245,0.5848,0.5279,0.5451,0.5674
ft65,0.6444,0.5737,0.6618,0.5733,0.5262,0.5969
ft66,0.6284,0.5326,0.5432,0.5911,0.5943,0.5018
ft67,0.5335,0.5266,0.551,0.5661,0.5149,0.5785
ft68,0.5077,0.6035,0.5675,0.6073,0.5558,0.6649
ft69,0.6378,0.524,0.7383,0.6073,0.6056,0.708
ft70,0.5481,0.5476,0.6101,0.6024,0.5577,0.6551
ft71,0.5793,0.5656,0.6788,0.6389,0.59,0.7268
ft72,0.5777,0.5422,0.6023,0.6268,0.5214,0.6496
ft73,0.5159,0.5253,0.6815,0.5402,0.6671,0.7115
ft74,0.5994,0.5442,0.5046,0.5663,0.5931,0.5365
ft75,0.5058,0.7203,0.5296,0.7063,0.5258,0.6854
ft76,0.5017,0.5232,0.5531,0.5272,0.5502,0.5303
ft77,0.5897,0.5649,0.5653,0.5355,0.6609,0.6342
ft78,0.5513,0.5262,0.5797,0.5248,0.6338,0.6121
ft79,0.5514,0.5685,0.5771,0.62,0.6277,0.5112
ft80,0.5484,0.5046,0.9232,0.5437,0.9111,0.9245
ft81,0.5284,0.526,0.5247,0.5083,0.5485,0.5533
ft82,0.5574,0.531,0.5668,0.5903,0.6215,0.5274
ft83,0.5003,0.5433,0.5058,0.5462,0.5133,0.5574
ft84,0.5774,0.5436,0.5637,0.6179,0.6344,0.52
ft85,0.5462,0.5759,0.5376,0.5283,0.5816,0.6176
ft86,0.5924,0.5568,0.5695,0.6489,0.5245,0.6356
ft87,0.5476,0.5901,0.693,0.6324,0.7347,0.6115
ft88,0.5243,0.5255,0.5668,0.5417,0.5887,0.5475
ft89,0.5321,0.5159,0.5361,0.546,0.5678,0.5201
ft90,0.5663,0.5935,0.6323,0.5234,0.7011,0.7343
ft91,0.5301,0.5706,0.6493,0.5368,0.6761,0.7135
ft92,0.5238,0.5479,0.5788,0.5641,0.5471,0.6133
ft93,0.5441,0.5576,0.6593,0.5082,0.6198,0.6186
ft94,0.5005,0.5286,0.5061,0.5188,0.5119,0.5293
ft95,0.5788,0.6238,0.6194,0.5338,0.5363,0.503
ft96,0.5766,0.5206,0.6529,0.5954,0.572,0.6608
ft97,0.5497,0.5296,0.5627,0.5276,0.5099,0.5308
ft98,0.5288,0.5466,0.5043,0.522,0.5247,0.5463
ft99,0.5155,0.5315,0.5518,0.548,0.5371,0.5766
ft100,0.5747,0.6467,0.5613,0.7055,0.5203,0.6963
ft101,0.608,0.5383,0.679,0.571,0.768,0.7084
ft102,0.5616,0.5035,0.5106,0.5608,0.5787,0.514
ft103,0.5484,0.557,0.5202,0.5997,0.572,0.534
ft104,0.5931,0.512,0.5007,0.6082,0.5972,0.5137
ft105,0.5308,0.5381,0.5893,0.5739,0.5642,0.6329
ft106,0.5184,0.6048,0.7462,0.6236,0.7619,0.647
ft107,0.6021,0.5147,0.6711,0.6153,0.5671,0.6833
ft108,0.5147,0.6125,0.5794,0.6167,0.5806,0.5444
ft109,0.5189,0.7623,0.614,0.7759,0.6337,0.6686
ft110,0.6049,0.5241,0.5051,0.5863,0.6212,0.5262
ft111,0.5778,0.5958,0.518,0.5235,0.5651,0.5889
ft112,0.5022,0.667,0.6154,0.6715,0.6166,0.5429
ft113,0.6381,0.6348,0.6883,0.5142,0.5417,0.5624
ft114,0.5127,0.5094,0.7045,0.5107,0.7223,0.7179
ft115,0.524,0.5225,0.6497,0.5024,0.6273,0.6272
ft116,0.6875,0.568,0.5361,0.7373,0.6547,0.6052
ft117,0.583,0.5306,0.5799,0.5547,0.6521,0.604
ft118,0.6783,0.6662,0.764,0.5078,0.5971,0.6145
ft119,0.718,0.5942,0.8366,0.6308,0.6678,0.7628
ft120,0.6411,0.5468,0.6588,0.6116,0.7685,0.7049
ft121,0.5187,0.5391,0.5585,0.5263,0.5684,0.6007
ft122,0.5996,0.5433,0.5707,0.5594,0.5326,0.5327
ft123,0.5067,0.546,0.8922,0.5493,0.8924,0.872
ft124,0.5944,0.5086,0.5661,0.6114,0.659,0.5546
ft125,0.5294,0.5041,0.609,0.531,0.5777,0.6097
ft126,0.5264,0.6327,0.636,0.6147,0.6192,0.5095
ft127,0.6039,0.5116,0.5532,0.5931,0.6584,0.5674
ft128,0.5444,0.5028,0.5154,0.5465,0.5311,0.5099
ft129,0.5711,0.6064,0.5815,0.5328,0.507,0.5219
ft130,0.5864,0.5616,0.6421,0.6386,0.7125,0.5849
ft131,0.5675,0.7307,0.6895,0.7869,0.7469,0.5368
ft132,0.5119,0.5734,0.5202,0.55,0.5089,0.5535
ft133,0.5136,0.5848,0.665,0.5626,0.6647,0.7457
ft134,0.505,0.5613,0.6521,0.5637,0.6577,0.7235
ft135,0.5119,0.526,0.638,0.5372,0.6216,0.6618
ft136,0.5091,0.5271,0.6564,0.5314,0.656,0.6315
ft137,0.6763,0.677,0.5012,0.5102,0.6753,0.6705
ft138,0.5721,0.5274,0.6565,0.5932,0.7203,0.6365
ft139,0.5505,0.53,0.5393,0.5258,0.5146,0.5082
ft140,0.5055,0.5584,0.5004,0.5531,0.5045,0.5581
ft141,0.6166,0.6496,0.5272,0.7519,0.5943,0.6767
ft142,0.5553,0.5389,0.62,0.5155,0.5718,0.5885
ft143,0.5621,0.5678,0.5292,0.5037,0.5282,0.5242
ft144,0.5374,0.5979,0.6164,0.6384,0.6497,0.5224
ft145,0.6056,0.5356,0.7748,0.561,0.8372,0.792
ft146,0.5506,0.5252,0.5223,0.5735,0.5266,0.5513
ft147,0.5905,0.505,0.6705,0.5818,0.7504,0.6677
ft148,0.5191,0.5063,0.7124,0.5201,0.7206,0.7138
ft149,0.5149,0.7132,0.5731,0.7048,0.5545,0.6583
ft150,0.7485,0.6199,0.7082,0.6478,0.5553,0.5924
ft151,0.5527,0.5059,0.891,0.5497,0.9023,0.8817
ft152,0.5394,0.6004,0.7169,0.5584,0.6704,0.6171
ft153,0.529,0.5602,0.6149,0.5835,0.6454,0.567
ft154,0.5235,0.6065,0.5648,0.6274,0.5332,0.6674
ft155,0.5393,0.5086,0.6384,0.5321,0.6673,0.6488
ft156,0.5145,0.5854,0.582,0.5966,0.5941,0.5012
ft157,0.5723,0.5656,0.5275,0.501,0.5413,0.5327
ft158,0.5089,0.5441,0.5197,0.5565,0.5019,0.5658
ft159,0.5851,0.5608,0.5153,0.6439,0.6024,0.5439
ft160,0.6805,0.5011,0.5822,0.6819,0.6124,0.5744
ft161,0.5401,0.5626,0.8346,0.6048,0.7939,0.8727
ft162,0.5852,0.5041,0.5609,0.5958,0.5242,0.5571
ft163,0.5989,0.5394,0.6661,0.5658,0.5664,0.6358
ft164,0.5573,0.5351,0.5634,0.5954,0.6234,0.5301
ft165,0.5707,0.5404,0.5149,0.6093,0.579,0.5372
