feature,ICC,Average AUC,Combined Score
ft589,0.9766,0.8398,0.9082
ft1574,0.9653,0.8457,0.9055
ft1895,0.9558,0.7893,0.8726
ft1518,0.9461,0.7797,0.8629
ft1061,0.9411,0.7797,0.8604
ft918,0.9367,0.781,0.8588
ft20,0.951,0.7636,0.8573
ft346,0.9227,0.7858,0.8542
ft933,0.9543,0.7489,0.8516
ft1193,0.9448,0.755,0.8499
ft1056,0.9403,0.7506,0.8454
ft981,0.9402,0.7506,0.8454
ft1417,0.957,0.7336,0.8453
ft1752,0.9307,0.7589,0.8448
ft1391,0.9123,0.7738,0.843
ft1758,0.9366,0.7493,0.843
ft1776,0.889,0.7956,0.8423
ft1513,0.9436,0.7406,0.8421
ft23,0.9414,0.7368,0.8391
ft1623,0.9464,0.7317,0.839
ft80,0.9512,0.7259,0.8386
ft646,0.9327,0.7379,0.8353
ft168,0.9315,0.7355,0.8335
ft993,0.9275,0.7356,0.8316
ft123,0.9535,0.7098,0.8316
ft557,0.9309,0.7306,0.8308
ft249,0.9197,0.7405,0.8301
ft42,0.9319,0.7281,0.83
ft508,0.945,0.7138,0.8294
ft1337,0.9184,0.7372,0.8278
ft912,0.9238,0.7284,0.8261
ft1750,0.9161,0.7358,0.826
ft1700,0.9265,0.7253,0.8259
ft1882,0.927,0.7241,0.8256
ft587,0.9358,0.7145,0.8252
ft1765,0.9145,0.7349,0.8247
ft1630,0.9416,0.7073,0.8244
ft1881,0.9359,0.7129,0.8244
ft1541,0.9216,0.7254,0.8235
ft2019,0.909,0.7363,0.8226
ft657,0.9139,0.7311,0.8225
ft686,0.9165,0.7245,0.8205
ft702,0.9078,0.7329,0.8204
ft1064,0.8967,0.7433,0.82
ft1511,0.9212,0.7187,0.82
ft1008,0.9582,0.6818,0.82
ft441,0.9016,0.733,0.8173
ft1658,0.9502,0.683,0.8166
ft1691,0.91,0.7228,0.8164
ft287,0.9125,0.7204,0.8164
ft119,0.9309,0.7017,0.8163
ft17,0.9035,0.7262,0.8148
ft1070,0.937,0.6911,0.8141
ft2023,0.9325,0.6931,0.8128
ft233,0.9073,0.7154,0.8114
ft1255,0.9287,0.6937,0.8112
ft1528,0.946,0.6764,0.8112
ft1942,0.9296,0.6908,0.8102
ft599,0.9344,0.6857,0.81
ft1033,0.9073,0.7121,0.8097
ft161,0.9176,0.7014,0.8095
ft2018,0.9071,0.7115,0.8093
ft1372,0.9391,0.6792,0.8092
ft1562,0.9423,0.6753,0.8088
ft1834,0.9502,0.667,0.8086
ft1788,0.9285,0.6883,0.8084
ft1885,0.8879,0.7268,0.8074
ft545,0.945,0.6696,0.8073
ft1616,0.8881,0.726,0.807
ft1612,0.9119,0.7015,0.8067
ft398,0.9318,0.6811,0.8064
ft1487,0.8983,0.7138,0.806
ft469,0.9003,0.7116,0.8059
ft1955,0.9427,0.6684,0.8056
ft1710,0.9134,0.6968,0.8051
ft1130,0.8995,0.71,0.8048
ft476,0.9566,0.6515,0.804
ft1154,0.9026,0.7029,0.8028
ft1704,0.951,0.6533,0.8021
ft1783,0.943,0.6584,0.8007
ft1340,0.8544,0.7453,0.7998
ft462,0.8831,0.716,0.7996
ft1748,0.8849,0.713,0.799
ft1271,0.8845,0.7134,0.799
ft944,0.913,0.6839,0.7984
ft197,0.905,0.6906,0.7978
ft1041,0.8801,0.7152,0.7976
ft266,0.8798,0.7145,0.7972
ft1493,0.9091,0.6848,0.797
ft716,0.9028,0.6901,0.7965
ft2026,0.863,0.727,0.795
ft1662,0.8929,0.697,0.795
ft566,0.9261,0.6638,0.795
ft498,0.9025,0.6859,0.7942
ft2029,0.9118,0.6747,0.7932
ft145,0.9005,0.6844,0.7924
ft549,0.8849,0.6996,0.7922
ft859,0.903,0.6804,0.7917
ft351,0.9033,0.6799,0.7916
ft963,0.9673,0.616,0.7916
ft253,0.8999,0.6831,0.7915
ft290,0.9501,0.6312,0.7906
ft1708,0.8859,0.6951,0.7905
ft855,0.8832,0.6976,0.7904
ft1018,0.9099,0.6706,0.7902
ft943,0.8936,0.6851,0.7894
ft1044,0.8917,0.6871,0.7894
ft940,0.912,0.6663,0.7892
ft1471,0.9149,0.6629,0.7889
ft1620,0.915,0.6617,0.7884
ft13,0.9052,0.6709,0.788
ft1334,0.8861,0.6897,0.7879
ft1621,0.9015,0.6742,0.7878
ft312,0.9141,0.6611,0.7876
ft1318,0.8986,0.6761,0.7874
ft1992,0.8716,0.7024,0.787
