feature,norm vs. cyst,norm vs. hema,norm vs. meta,cyst vs. hema,cyst vs. meta,hema vs. meta
ft0,0.6105,0.737,0.5686,0.5572,0.5599,0.7431
ft1,0.5304,0.8365,0.7829,0.7391,0.6954,0.6209
ft2,0.6429,0.5006,0.6424,0.6433,0.8239,0.6549
ft3,0.7831,0.695,0.6057,0.5904,0.7609,0.6468
ft4,0.6298,0.6618,0.8283,0.7718,0.7204,0.9041
ft5,0.686,0.6686,0.9104,0.509,0.8146,0.7883
ft6,0.6783,0.5454,0.8535,0.6267,0.9438,0.866
ft7,0.5128,0.8309,0.6226,0.8774,0.6339,0.8086
ft8,0.7718,0.9137,0.6566,0.9808,0.6914,0.9777
ft9,0.7373,0.5252,0.8903,0.7624,0.545,0.9469
ft10,0.5856,0.5653,0.5735,0.5322,0.5547,0.5011
ft11,0.5511,0.6294,0.6442,0.684,0.5886,0.7891
ft12,0.5777,0.6893,0.7006,0.6318,0.6414,0.5115
ft13,0.5142,0.546,0.9002,0.5599,0.8515,0.8843
ft14,0.7218,0.8189,0.6134,0.6535,0.664,0.8019
ft15,0.7329,0.7431,1.0,0.5342,1.0,1.0
ft16,0.7081,0.5395,0.9388,0.6684,0.9696,0.948
ft17,0.6267,0.7019,0.675,0.7942,0.7887,0.6042
ft18,0.5377,0.8453,0.7463,0.9172,0.8479,0.6771
ft19,0.7758,0.6542,0.8265,0.8928,0.9844,0.6949
ft20,0.593,0.6508,0.8599,0.5623,0.8169,0.7615
ft21,0.6944,0.776,0.5802,0.5434,0.756,0.8707
ft22,0.6873,0.5343,1.0,0.6777,1.0,1.0
ft23,0.7546,0.5337,0.8784,0.7326,0.5129,0.8596
ft24,0.554,0.7803,0.6761,0.7627,0.582,0.9206
ft25,0.6215,0.5757,0.6548,0.5824,0.5456,0.59
ft26,0.6067,0.6001,0.9572,0.6887,0.8947,0.9829
ft27,0.6726,0.7315,0.5874,0.8696,0.7764,0.718
ft28,0.739,0.6843,0.5251,0.5764,0.8346,0.7591
ft29,0.65,0.6101,0.9519,0.7188,0.7722,0.9909
ft30,0.5486,0.5896,0.6614,0.5317,0.5898,0.5625
ft31,0.6415,0.9046,0.9085,0.8066,0.8147,0.5665
ft32,0.7527,0.6597,0.9738,0.6789,0.697,0.9611
ft33,0.7987,0.6142,0.6403,0.8747,0.7044,0.7533
ft34,0.5759,0.6036,0.608,0.5402,0.7775,0.792
ft35,0.7169,0.8953,0.9567,0.9852,0.9995,0.6887
ft36,0.796,0.5465,0.6783,0.8146,0.9419,0.6255
ft37,0.5084,0.802,0.9513,0.7557,0.9432,0.7731
ft38,0.5477,0.5613,0.5255,0.6448,0.5226,0.631
ft39,0.775,0.6803,0.8807,0.9038,0.606,0.9799
ft40,0.5911,0.5014,0.8664,0.6121,0.8284,0.918
ft41,0.6471,0.8408,0.8389,0.6157,0.8773,0.9961
ft42,0.594,0.5385,0.5254,0.6517,0.5957,0.5895
ft43,0.6299,0.9095,0.8698,0.7926,0.9235,0.9994
ft44,0.6799,0.8869,0.6951,0.9827,0.9061,0.8165
ft45,0.956,0.6492,0.8172,0.9443,0.8805,0.7573
ft46,0.7393,0.6643,0.7332,0.6079,0.5753,0.565
ft47,0.8075,0.6117,0.7328,0.8927,0.6234,0.8354
ft48,0.5785,0.5693,0.6641,0.6467,0.5861,0.7294
ft49,0.6886,0.6598,0.7082,0.5122,0.8978,0.8579
ft50,0.655,0.7716,0.9637,0.6317,0.9184,0.8662
ft51,0.6337,0.8858,0.8715,0.6177,0.5864,0.5798
ft52,0.5822,0.75,0.6756,0.8135,0.5803,0.8767
ft53,0.6627,0.9093,0.9367,0.828,0.886,0.6321
ft54,0.8094,0.884,0.7585,0.9842,0.9482,0.7621
ft55,0.7617,0.5298,0.7945,0.7659,0.5075,0.8174
ft56,0.5095,0.7218,0.6821,0.7417,0.7196,0.5149
ft57,0.5122,0.7803,0.9402,0.7838,0.9646,0.7953
ft58,0.7717,0.7106,0.7492,0.6184,0.9142,0.9174
ft59,0.6278,0.9028,0.8477,0.7866,0.6917,0.6492
ft60,0.521,0.6143,0.9352,0.5879,0.9085,0.9191
ft61,0.5054,0.6086,0.6446,0.576,0.5825,0.537
ft62,0.6687,0.5836,0.9797,0.7726,0.9708,0.9899
ft63,0.6736,0.6149,0.947,0.5605,0.8942,0.9222
ft64,0.599,0.5944,0.7296,0.6614,0.7415,0.6452
ft65,0.7393,0.6291,0.5463,0.8487,0.8032,0.6062
ft66,0.5467,0.5464,0.7438,0.5096,0.6604,0.7533
ft67,0.7554,0.9205,0.8813,0.7139,0.6272,0.6334
ft68,0.58,0.7962,0.5063,0.8197,0.5749,0.8367
ft69,0.6736,0.5261,0.5373,0.6499,0.6801,0.5094
ft70,0.8668,0.9157,0.9783,0.5446,0.6002,0.7472
ft71,0.5368,0.5411,0.7256,0.5882,0.7183,0.8089
ft72,0.5945,0.5616,0.5487,0.5417,0.5423,0.5063
ft73,0.7816,0.5887,0.5035,0.8802,0.8578,0.6062
ft74,0.6027,0.5514,0.6112,0.5499,0.5043,0.5456
ft75,0.7505,0.5728,0.9908,0.791,0.8605,0.9983
ft76,0.6322,0.5471,0.6763,0.6594,0.5352,0.7129
ft77,0.5641,0.5694,0.6605,0.5108,0.6891,0.7226
ft78,0.7857,0.6448,0.8405,0.8528,0.9424,0.7163
ft79,0.5385,0.7069,0.951,0.6507,0.9513,0.9146
ft80,0.6582,0.615,0.971,0.5649,0.9255,0.9722
ft81,0.5007,0.8389,0.8698,0.8988,0.9179,0.9989
ft82,0.6131,0.5475,0.6011,0.672,0.5139,0.6686
ft83,0.5456,0.6544,0.6986,0.6052,0.6441,0.5459
ft84,0.5939,0.7714,0.5471,0.6947,0.6432,0.823
ft85,0.7185,0.5125,0.6841,0.731,0.5266,0.697
ft86,0.5382,0.7452,0.8214,0.6861,0.7318,0.6132
ft87,0.6186,0.6076,0.5447,0.5311,0.6383,0.7518
ft88,0.695,0.7033,0.607,0.5092,0.6141,0.6308
ft89,0.6973,0.7596,0.6836,0.8485,0.5936,0.9125
ft90,0.513,0.6071,0.6033,0.6111,0.6168,0.5089
ft91,0.7136,0.6136,0.9925,0.6473,0.9857,0.9953
ft92,0.7246,0.8788,0.9006,0.983,0.9963,0.5476
ft93,0.767,0.5308,0.9228,0.7895,0.5834,0.9566
ft94,0.6662,0.5145,0.6828,0.6803,0.5244,0.7467
ft95,0.72,0.6454,0.9614,0.8258,0.8518,0.9895
ft96,0.5517,0.874,0.8265,0.5564,0.5033,0.6684
ft97,0.6513,0.9486,0.6593,0.9794,0.5319,0.9914
ft98,0.6873,0.6816,0.8657,0.8443,0.7088,0.9475
ft99,0.8097,0.9161,0.6474,0.7357,0.709,0.8758
ft100,0.5649,0.5048,0.5197,0.5574,0.5587,0.5105
ft101,0.6817,0.6211,0.8236,0.7505,0.5323,0.9139
ft102,0.6842,0.5225,0.8279,0.6762,0.9685,0.9111
ft103,0.5772,0.8155,0.6502,0.8611,0.7206,0.7764
ft104,0.5107,0.7605,0.8543,0.785,0.8431,0.9879
ft105,0.6326,0.9071,0.9502,0.8199,0.8836,0.659
ft106,0.771,0.8685,0.9757,0.6495,0.8823,0.7763
ft107,0.555,0.6198,0.6313,0.6669,0.5638,0.7748
ft108,0.5228,0.6052,0.7396,0.5717,0.7004,0.6313
ft109,0.7605,0.6239,0.9597,0.8754,0.7612,0.9979
ft110,0.5518,0.7425,0.819,0.7018,0.791,0.6304
ft111,0.5597,0.6733,0.7495,0.6484,0.5547,0.95
ft112,0.5509,0.5672,0.9715,0.5083,0.9163,0.9952
ft113,0.7262,0.9311,0.6945,0.7748,0.6108,0.9369
ft114,0.5682,0.9176,0.8257,0.9281,0.8598,0.7763
ft115,0.5685,0.6943,0.6136,0.649,0.5648,0.5901
ft116,0.5635,0.6806,0.8412,0.6052,0.7701,0.6864
ft117,0.6757,0.7107,0.7066,0.7888,0.5862,0.8748
ft118,0.7644,0.796,0.7967,0.9581,0.5568,0.9704
ft119,0.7095,0.8761,0.8493,0.556,0.9497,0.9986
ft120,0.6953,0.5811,0.5147,0.7811,0.7516,0.5946
ft121,0.7988,0.6327,0.5282,0.9024,0.8403,0.6812
ft122,0.5951,0.735,0.7158,0.6573,0.6084,0.568
ft123,0.5982,0.6022,0.8034,0.6919,0.8915,0.6874
ft124,0.8035,0.8468,0.8352,0.5037,0.5466,0.5493
ft125,0.7819,0.7979,0.9183,0.501,0.6871,0.6958
ft126,0.6804,0.7154,0.9996,0.838,0.9999,1.0
ft127,0.6094,0.7154,0.8124,0.5688,0.669,0.6307
ft128,0.6757,0.5051,0.8689,0.7121,0.7343,0.9014
ft129,0.7799,0.6081,0.9318,0.6873,0.7974,0.8952
ft130,0.8508,0.9715,0.9974,0.5479,0.7008,0.7751
ft131,0.5286,0.5322,0.9068,0.5657,0.9428,0.883
ft132,0.8412,0.7433,0.9865,0.6696,0.912,0.9605
ft133,0.5408,0.8125,0.922,0.5957,0.7385,0.8138
ft134,0.6327,0.6961,0.5287,0.8136,0.6258,0.7686
ft135,0.7152,0.5598,0.8897,0.6608,0.7583,0.8427
ft136,0.5172,0.5236,0.6771,0.5205,0.6244,0.7375
ft137,0.9312,0.9742,0.9913,0.5937,0.7928,0.7211
ft138,0.5609,0.9144,0.9366,0.8527,0.7086,0.9996
ft139,0.5461,0.6119,0.7117,0.6458,0.7514,0.6332
ft140,0.8648,0.7811,0.9444,0.9802,0.9999,0.8462
ft141,0.7049,0.6499,0.7632,0.6264,0.5891,0.6158
ft142,0.5249,0.7115,0.74,0.7401,0.7361,0.8993
ft143,0.5237,0.6573,0.6705,0.6662,0.7428,0.8892
ft144,0.8352,0.5345,0.8227,0.8725,0.5595,0.8526
ft145,0.6788,0.8373,0.5789,0.7231,0.792,0.9346
ft146,0.5106,0.7663,1.0,0.8148,1.0,1.0
ft147,0.5306,0.6821,0.7882,0.5865,0.6432,0.6343
ft148,0.6379,0.8056,0.9545,0.6578,0.8467,0.7388
ft149,0.7268,0.6462,0.8555,0.6546,0.9164,0.9594
ft150,0.6056,0.5728,0.6804,0.652,0.5165,0.7946
ft151,0.671,0.6058,0.7218,0.7543,0.8542,0.6138
ft152,0.5518,0.8225,0.902,0.7147,0.7916,0.6796
ft153,0.7434,0.6093,0.8059,0.805,0.5861,0.9342
ft154,0.7422,0.7414,0.6951,0.5857,0.8583,0.9281
ft155,0.6146,0.821,0.7345,0.7597,0.6391,0.7213
ft156,0.732,0.7673,0.929,0.5241,0.7001,0.8117
ft157,0.6459,0.7618,0.8217,0.5534,0.5782,0.5629
ft158,0.539,0.792,0.8395,0.6759,0.6863,0.549
ft159,0.6943,0.7272,0.8012,0.8758,0.8886,0.6153
ft160,0.703,0.6132,0.503,0.605,0.7559,0.6743
ft161,0.5854,0.6943,0.9206,0.7633,0.8803,0.9665
ft162,0.5587,0.6068,0.5628,0.6652,0.5064,0.6725
ft163,0.504,0.5786,0.6547,0.5702,0.6871,0.7756
ft164,0.5622,0.7287,0.7819,0.6849,0.7256,0.5248
ft165,0.6318,0.8002,0.8927,0.6554,0.74,0.5897
ft166,0.7121,0.7299,0.8999,0.5293,0.9819,0.9827
ft167,0.7289,0.7134,0.6928,0.5403,0.6085,0.568
ft168,0.5972,0.5451,0.5425,0.5692,0.5815,0.5056
