feature,ICC
ft0,0.9367
ft1,0.9672
ft2,0.7631
ft3,0.8059
ft4,0.8341
ft5,0.8974
ft6,0.9402
ft7,0.9265
ft8,0.9733
ft9,0.9587
ft10,0.7163
ft11,0.5806
ft12,0.7796
ft13,0.9626
ft14,0.8126
ft15,0.9777
ft16,0.9458
ft17,0.8312
ft18,0.9189
ft19,0.9157
ft20,0.8506
ft21,0.9114
ft22,0.9787
ft23,0.967
ft24,0.9429
ft25,0.919
ft26,0.9678
ft27,0.9489
ft28,0.868
ft29,0.9781
ft30,0.8305
ft31,0.88
ft32,0.948
ft33,0.9099
ft34,0.8586
ft35,0.9926
ft36,0.9106
ft37,0.9759
ft38,0.7835
ft39,0.9387
ft40,0.8359
ft41,0.9749
ft42,0.8216
ft43,0.9594
ft44,0.9767
ft45,0.9565
ft46,0.8285
ft47,0.865
ft48,0.6016
ft49,0.919
ft50,0.955
ft51,0.9798
ft52,0.8823
ft53,0.9348
ft54,0.9815
ft55,0.9011
ft56,0.8393
ft57,0.9199
ft58,0.9578
ft59,0.9518
ft60,0.9673
ft61,0.962
ft62,0.9296
ft63,0.9552
ft64,0.9452
ft65,0.8853
ft66,0.8636
ft67,0.9568
ft68,0.9805
ft69,0.6329
ft70,0.9839
ft71,0.8472
ft72,0.6309
ft73,0.9002
ft74,0.8023
ft75,0.9784
ft76,0.8923
ft77,0.8673
ft78,0.9868
ft79,0.8936
ft80,0.9085
ft81,0.9312
ft82,0.8616
ft83,0.8878
ft84,0.8443
ft85,0.7377
ft86,0.9324
ft87,0.979
ft88,0.771
ft89,0.9264
ft90,0.6074
ft91,0.9697
ft92,0.9743
ft93,0.932
ft94,0.9514
ft95,0.9567
ft96,0.9903
ft97,0.952
ft98,0.9381
ft99,0.93
ft100,0.7933
ft101,0.974
ft102,0.8443
ft103,0.9517
ft104,0.8713
ft105,0.9741
ft106,0.9149
ft107,0.7723
ft108,0.799
ft109,0.9771
ft110,0.8878
ft111,0.9619
ft112,0.9807
ft113,0.9353
ft114,0.8783
ft115,0.831
ft116,0.9425
ft117,0.9617
ft118,0.9412
ft119,0.9684
ft120,0.7298
ft121,0.877
ft122,0.8927
