feature,ICC,Average AUC,Combined Score
ft1931,0.9892,0.9189,0.954
ft465,0.9885,0.9128,0.9506
ft1107,0.9923,0.9074,0.9498
ft140,0.9932,0.9028,0.948
ft1599,0.9754,0.9113,0.9434
ft908,0.9785,0.9074,0.943
ft1413,0.9931,0.8897,0.9414
ft1301,0.9768,0.9052,0.941
ft1607,0.9816,0.898,0.9398
ft921,0.9734,0.906,0.9397
ft619,0.9879,0.8913,0.9396
ft1795,0.9837,0.8938,0.9388
ft976,0.9802,0.8961,0.9382
ft1724,0.9841,0.8905,0.9373
ft1211,0.973,0.9007,0.9368
ft1457,0.9658,0.9056,0.9357
ft1023,0.9837,0.8861,0.9349
ft35,0.9926,0.8737,0.9332
ft239,0.9919,0.8724,0.9322
ft193,0.9842,0.8772,0.9307
ft1071,0.9921,0.8685,0.9303
ft178,0.9716,0.8884,0.93
ft378,0.963,0.8967,0.9298
ft2035,0.9851,0.8744,0.9298
ft126,0.9868,0.8722,0.9295
ft696,0.9829,0.8755,0.9292
ft261,0.9777,0.8799,0.9288
ft1004,0.9819,0.8757,0.9288
ft1141,0.9926,0.864,0.9283
ft1975,0.9693,0.8844,0.9268
ft345,0.979,0.874,0.9265
ft1557,0.9825,0.8704,0.9264
ft575,0.9737,0.8787,0.9262
ft1866,0.9894,0.8627,0.926
ft844,0.987,0.8648,0.9259
ft519,0.9818,0.8688,0.9253
ft1924,0.9662,0.8842,0.9252
ft1990,0.9565,0.8939,0.9252
ft980,0.966,0.8832,0.9246
ft1789,0.9721,0.8771,0.9246
ft822,0.9796,0.8654,0.9225
ft1734,0.9747,0.8696,0.9222
ft771,0.9809,0.8635,0.9222
ft589,0.9563,0.888,0.9222
ft880,0.9735,0.8702,0.9218
ft722,0.9881,0.855,0.9216
ft449,0.9503,0.8929,0.9216
ft572,0.9839,0.8587,0.9213
ft1355,0.992,0.8503,0.9212
ft920,0.9757,0.8668,0.9212
ft1554,0.9873,0.8547,0.921
ft964,0.9783,0.8635,0.9209
ft1267,0.9895,0.8521,0.9208
ft349,0.9775,0.8642,0.9208
ft1540,0.9812,0.8599,0.9206
ft1367,0.9896,0.8498,0.9197
ft54,0.9815,0.8577,0.9196
ft1219,0.9805,0.8576,0.919
ft1250,0.9686,0.8684,0.9185
ft389,0.9597,0.8771,0.9184
ft146,0.9883,0.8486,0.9184
ft958,0.9929,0.8437,0.9183
ft1291,0.9671,0.869,0.918
ft1723,0.9888,0.8468,0.9178
ft1563,0.9709,0.8645,0.9177
ft296,0.9729,0.8622,0.9176
ft1375,0.9796,0.8548,0.9172
ft902,0.9756,0.8587,0.9172
ft1160,0.9593,0.8739,0.9166
ft1706,0.9697,0.863,0.9164
ft698,0.9708,0.8613,0.916
ft1939,0.9777,0.8544,0.916
ft199,0.9669,0.8649,0.9159
ft1499,0.9849,0.8464,0.9156
ft787,0.9674,0.863,0.9152
ft561,0.9731,0.8557,0.9144
ft1623,0.9807,0.8472,0.914
ft1598,0.9675,0.8606,0.914
ft609,0.9688,0.859,0.9139
ft1067,0.9593,0.868,0.9136
ft1497,0.9687,0.8579,0.9133
ft543,0.956,0.8702,0.9131
ft1615,0.9862,0.8396,0.9129
ft137,0.991,0.834,0.9125
ft421,0.9597,0.864,0.9118
ft481,0.9741,0.8496,0.9118
ft387,0.9731,0.8499,0.9115
ft1129,0.9714,0.8515,0.9115
ft1145,0.9941,0.8288,0.9114
ft2013,0.9869,0.8357,0.9113
ft970,0.9581,0.8638,0.911
ft736,0.9849,0.8371,0.911
ft1000,0.9818,0.8397,0.9108
ft1047,0.9708,0.8503,0.9106
ft1238,0.9762,0.8446,0.9104
ft132,0.9684,0.8522,0.9103
ft458,0.9554,0.864,0.9097
ft622,0.9443,0.8745,0.9094
ft1550,0.9777,0.8412,0.9094
ft1400,0.9677,0.8506,0.9092
