,feature,rem vs. tum
0,original_gldm_GrayLevelNonUniformity,0.9990537323916182
1,original_ngtdm_Coarseness,0.9985171889023297
2,original_glrlm_GrayLevelNonUniformity,0.9982928161704452
3,original_gldm_DependenceNonUniformity,0.9978538260428454
4,original_glszm_GrayLevelNonUniformity,0.9968100050727748
5,original_glrlm_RunLengthNonUniformity,0.9954540133452998
6,original_glszm_SizeZoneNonUniformity,0.9937956061965896
7,original_glszm_LargeAreaHighGrayLevelEmphasis,0.9919420923245016
8,original_ngtdm_Contrast,0.9872009989464235
9,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.986157177976353
10,original_glrlm_ShortRunLowGrayLevelEmphasis,0.9825574589300348
11,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.9815429039684708
12,original_glrlm_LongRunHighGrayLevelEmphasis,0.9810161158153508
13,original_glszm_LowGrayLevelZoneEmphasis,0.9788894525305344
14,original_glrlm_LowGrayLevelRunEmphasis,0.9778553868966324
15,original_gldm_LowGrayLevelEmphasis,0.9772017793733172
16,original_glcm_Idmn,0.9734947516291412
17,original_glszm_ZoneVariance,0.9675732625746284
18,original_glszm_LargeAreaEmphasis,0.9655929293323448
19,original_glcm_JointAverage,0.9642954696218832
20,original_glcm_SumAverage,0.9642954696218832
21,original_glszm_SmallAreaLowGrayLevelEmphasis,0.96406134155383
22,original_firstorder_Kurtosis,0.961271315409529
23,original_glcm_Autocorrelation,0.9607250165840716
24,original_firstorder_Range,0.9600957974011785
25,original_glcm_Idn,0.958159363171655
26,original_gldm_HighGrayLevelEmphasis,0.9573886916143132
27,original_glrlm_HighGrayLevelRunEmphasis,0.9563253599719046
28,original_glszm_SmallAreaHighGrayLevelEmphasis,0.9511647871385648
29,original_glszm_HighGrayLevelZoneEmphasis,0.951067233776876
30,original_firstorder_Maximum,0.9423264525695556
31,original_glrlm_ShortRunHighGrayLevelEmphasis,0.9360342607406252
32,original_ngtdm_Busyness,0.933839310102626
33,original_ngtdm_Complexity,0.9331174152261288
34,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.928454364537402
35,original_glrlm_LongRunLowGrayLevelEmphasis,0.8926620361337652
36,original_ngtdm_Strength,0.8839700316072892
37,original_glszm_ZoneEntropy,0.8719904787918992
38,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.8684102704179186
39,original_firstorder_Minimum,0.8661177664182307
40,original_firstorder_10Percentile,0.8623814726655481
41,original_firstorder_Mean,0.8459632418933157
42,original_firstorder_Energy,0.8457681351699379
43,original_firstorder_RootMeanSquared,0.8457681351699379
44,original_firstorder_Median,0.84387072228509
45,original_glszm_LargeAreaLowGrayLevelEmphasis,0.8397978694345808
46,original_firstorder_90Percentile,0.7888555039606664
47,original_glcm_MCC,0.7768759511452765
48,original_glrlm_RunEntropy,0.7622527022281187
49,original_firstorder_InterquartileRange,0.753341202637843
50,original_firstorder_RobustMeanAbsoluteDeviation,0.7516974284933859
51,original_glrlm_RunVariance,0.7337085885979631
52,original_gldm_DependenceNonUniformityNormalized,0.7232118468802434
53,original_glcm_ClusterProminence,0.7046474421508565
54,original_glrlm_LongRunEmphasis,0.7028231942872751
55,original_firstorder_Uniformity,0.6969504819136066
56,original_gldm_LargeDependenceEmphasis,0.6832832559409997
57,original_glszm_ZonePercentage,0.681663870136965
58,original_glrlm_RunPercentage,0.6813712100518984
59,original_glszm_SmallAreaEmphasis,0.6793616108011081
60,original_gldm_DependenceVariance,0.6719573106489249
61,original_glszm_GrayLevelVariance,0.6718792679595739
62,original_glcm_MaximumProbability,0.6694892105981972
63,original_firstorder_MeanAbsoluteDeviation,0.6675771647090958
64,original_glcm_JointEnergy,0.6605435673313304
65,original_glrlm_RunLengthNonUniformityNormalized,0.6524271276388185
66,original_gldm_SmallDependenceEmphasis,0.6371990478791899
67,original_glrlm_GrayLevelNonUniformityNormalized,0.6340285636243024
68,original_firstorder_Skewness,0.631043430756624
69,original_glrlm_ShortRunEmphasis,0.626468178093417
70,original_glcm_ClusterShade,0.6256877511999064
71,original_firstorder_Entropy,0.6059234401217466
72,original_glszm_SizeZoneNonUniformityNormalized,0.6001287704374293
73,original_glcm_SumEntropy,0.599387364888594
74,original_glcm_Imc2,0.5983045225738478
75,original_glcm_Imc1,0.593319545791548
76,original_gldm_DependenceEntropy,0.5918464900300464
77,original_glszm_GrayLevelNonUniformityNormalized,0.5846763179459165
78,original_glcm_InverseVariance,0.5832715495375971
79,original_glcm_Id,0.577115932415031
80,original_glcm_Idm,0.5743941936239123
81,original_glcm_JointEntropy,0.5728333398368908
82,original_glcm_DifferenceAverage,0.5682093104928396
83,original_glcm_Contrast,0.5485327974401998
84,original_firstorder_Variance,0.5439770554493308
85,original_gldm_GrayLevelVariance,0.5424942443516604
86,original_glcm_SumSquares,0.5422113396027627
87,original_glcm_ClusterTendency,0.5342900066336286
88,original_glrlm_GrayLevelVariance,0.5246810005072775
89,original_glcm_DifferenceEntropy,0.521100792133297
90,original_glcm_Correlation,0.5209154407460881
91,original_glcm_DifferenceVariance,0.5065946072501659
