type,size,auc_val_mean,auc_val_std,auc_test_mean,auc_test_std,auc_val,auc_test
deep_MNIST,1,0.8220062847979983,0.028432711387875075,0.9233184143222506,0.019126820056499284,"[0.84402577 0.82960936 0.80458182 0.81643151 0.82618939 0.83776768
 0.84642457 0.83302446 0.84157445 0.77003679 0.84742937 0.82076322
 0.74788293 0.82961538 0.78468548 0.86405659 0.84709742 0.79578963
 0.81069444 0.8424454 ]","[0.94110796 0.89324534 0.92391304 0.891519   0.93073164 0.93783339
 0.93758677 0.9370844  0.93654549 0.892711   0.93339423 0.93943643
 0.92168433 0.93808915 0.93396511 0.89299872 0.8927658  0.9105316
 0.94200311 0.93922178]"
deep_MNIST,2,0.8356575919733856,0.028201672406398797,0.7553539459261966,0.07166097659566797,"[0.84626698 0.83523332 0.81607273 0.84714874 0.82162943 0.84490591
 0.84802432 0.86286138 0.8464771  0.78571429 0.87269696 0.83976863
 0.76675085 0.81323077 0.81047913 0.87050007 0.85836543 0.81418149
 0.83229167 0.88055267]","[0.71735477 0.74314943 0.8040738  0.76603946 0.76187431 0.82578553
 0.71002009 0.83370479 0.746424   0.64303982 0.77349288 0.8020095
 0.81038546 0.63235751 0.87190811 0.60212368 0.68898886 0.72864907
 0.80311929 0.84257855]"
deep_MNIST,3,0.8550090633181148,0.02944986048715848,0.809912084398977,0.05153297206213961,"[0.86125508 0.875513   0.8176     0.84619342 0.82991336 0.87435107
 0.86178211 0.88945515 0.8714806  0.82690769 0.89787682 0.85494291
 0.77811618 0.83869231 0.82238389 0.88380726 0.85950649 0.85271318
 0.85604167 0.90164909]","[0.82295396 0.79270643 0.83141213 0.76322159 0.81672908 0.88603855
 0.80859061 0.85385459 0.79415418 0.71585221 0.81300694 0.8867236
 0.82394958 0.8068597  0.88210632 0.69775758 0.73699306 0.78075904
 0.82032335 0.86424918]"
deep_MNIST,4,0.8544967867636164,0.02846416231157777,0.7857928388746803,0.06104032001381131,"[0.86699818 0.86631707 0.81730909 0.84964727 0.82884937 0.87662232
 0.84578467 0.88167161 0.88107578 0.83058711 0.88971749 0.84773137
 0.78101322 0.85361538 0.82017931 0.89473316 0.86713736 0.83994528
 0.85930556 0.89169514]","[0.75948118 0.74389843 0.82987304 0.77233741 0.81632718 0.86863811
 0.7383586  0.84301699 0.78827183 0.64450585 0.7790738  0.85534801
 0.76308458 0.73672817 0.89516807 0.70755389 0.72467574 0.76674735
 0.82574443 0.85702411]"
deep_MNIST,5,0.8533469341594297,0.02797190199143951,0.7715237943003288,0.07278336775609938,"[0.86860905 0.86662107 0.82414545 0.85097002 0.82884937 0.87897469
 0.85106383 0.8824129  0.88107578 0.81322988 0.89112125 0.84773137
 0.7824246  0.84792308 0.82370664 0.88969043 0.8642847  0.84040128
 0.850625   0.88307829]","[0.70836226 0.72652083 0.8302521  0.81344995 0.81632718 0.86916788
 0.75738948 0.81943734 0.78827183 0.63490592 0.75464925 0.85534801
 0.76366003 0.60073073 0.8964103  0.70236116 0.725749   0.76751461
 0.77663957 0.82332846]"
deep_MNIST,10,0.8635355189676657,0.025175391082846894,0.9470652173913043,0.0325979077885737,"[0.86804875 0.875057   0.83978182 0.87330982 0.85658915 0.89527904
 0.84994401 0.88445145 0.8844376  0.82714766 0.86225654 0.87176983
 0.80344674 0.84723077 0.83965315 0.90103656 0.88510911 0.84648123
 0.85520833 0.90447185]","[0.95169894 0.97479905 0.90671355 0.99018999 0.98764158 0.94119931
 0.95471319 0.98307453 0.90503288 0.91052247 0.93384636 0.97166149
 0.88261783 0.95686883 0.94059189 0.98417976 0.90193643 0.98017903
 0.91741414 0.96642309]"
deep_MNIST,20,0.8662097835675716,0.027287800828103385,0.9327744793569602,0.055923456844434644,"[0.87638325 0.88881289 0.83367273 0.88631687 0.85225718 0.90006489
 0.84858423 0.88630467 0.877784   0.83090705 0.87989121 0.87116887
 0.80701233 0.86076923 0.85111699 0.90145679 0.89594922 0.83880529
 0.83298611 0.90395186]","[0.96871575 0.95159847 0.76272379 0.99385276 0.92647059 0.94383449
 0.9701224  0.98322068 0.90490044 0.91479266 0.93992967 0.97254293
 0.88846365 0.96708988 0.93455426 0.98029777 0.92059737 0.97167519
 0.8137331  0.94637377]"
deep_MNIST,30,0.8740323692883871,0.027012328795431667,0.9681754658385093,0.033051303103386345,"[0.87449223 0.86966104 0.83541818 0.90196943 0.85864113 0.90598637
 0.8662614  0.89038176 0.89452304 0.83890578 0.90173715 0.85291466
 0.81956619 0.86692308 0.856408   0.90783023 0.9114249  0.86441708
 0.85180556 0.91138018]","[0.99432773 0.98808915 0.86954695 0.99247351 0.98196018 0.96890756
 0.99741505 0.99909573 0.93107417 0.96204786 0.9774114  0.99320424
 0.91207526 0.99187066 0.95191816 0.99687614 0.96391122 0.9850475
 0.93351297 0.97274388]"
deep_MNIST,40,0.8790892523891849,0.024793480336117085,0.9667039641943737,0.028681864324619395,"[0.88401737 0.87961696 0.84254545 0.90983245 0.85620915 0.91377352
 0.86282195 0.89473684 0.90383807 0.84898416 0.90033339 0.86102764
 0.82989155 0.86607692 0.86390359 0.89144138 0.91192412 0.875285
 0.87020833 0.91531719]","[0.98114724 0.98816222 0.89983559 0.99151443 0.96192912 0.97725612
 0.99269273 0.99435513 0.95619291 0.94303069 0.98379613 0.9935422
 0.92278042 0.99251005 0.95417428 0.98943186 0.94131348 0.98402448
 0.91063208 0.97575813]"
deep_MNIST,50,0.8884757183075968,0.022971328788900604,0.9758124771647789,0.02277129661901988,"[0.88205631 0.90986472 0.85709091 0.92357437 0.87042104 0.89779364
 0.86994081 0.91401038 0.88492786 0.85890258 0.92121425 0.86207933
 0.85247363 0.88015385 0.87918871 0.89424289 0.91905577 0.89709682
 0.87416667 0.92125984]","[0.99146876 0.98923091 0.92999635 0.99548776 0.96021191 0.98017903
 0.9931951  0.99493972 0.96651443 0.91957435 0.98688345 0.99783522
 0.93412495 0.99488491 0.97405919 0.99689441 0.97244246 0.9862806
 0.9750548  0.97699123]"
