type,size,auc_val_mean,auc_val_std,auc_test_mean,auc_test_std,auc_val,auc_test
trad,1,0.9944344575127481,0.004365677798798507,0.5,0.0,"[0.98641266 0.99513604 0.98996364 1.         0.99004408 0.99513303
 0.99456087 0.99277242 0.99866928 1.         0.98868222 0.99196214
 0.99012034 0.99992308 0.99470899 0.9994397  0.99065754 0.999392
 0.99111111 1.        ]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
trad,2,0.9967522017622936,0.00327212269407759,0.5,0.0,"[0.99642807 0.99825201 0.99825455 1.         0.999468   0.99180727
 0.99744041 0.99295775 0.99873932 1.         0.99192841 0.99158654
 0.98974892 0.99992308 0.99470899 0.99754868 0.99843104 0.999696
 0.998125   1.        ]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
trad,3,0.9962106203203046,0.0034846336728755027,0.5,0.0,"[0.99194565 0.99247606 0.9984     1.         0.99908801 0.99213173
 0.99744041 0.99295775 0.99810898 1.         0.99175294 0.99158654
 0.98974892 0.99992308 0.99470899 0.99754868 0.99857367 0.999696
 0.998125   1.        ]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
trad,4,0.9944344347193661,0.0056142733056094,0.5,0.0,"[0.99313629 0.99399605 0.98050909 1.         0.99893601 0.99205062
 0.993761   0.99295775 0.99803894 1.         0.99157747 0.99098558
 0.98974892 0.99992308 0.99470899 0.99754868 0.98160034 0.999696
 0.99951389 1.        ]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
trad,5,0.9952491569577754,0.00468044551131553,0.5,0.0,"[0.99306626 0.99414805 0.99796364 1.         0.99901201 0.99132057
 0.99408095 0.99240178 0.99824905 1.         0.99157747 0.99098558
 0.98974892 0.99992308 0.99470899 0.99754868 0.98160034 0.99962
 0.99902778 1.        ]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
trad,10,0.9970721707348075,0.0030048596778839455,0.5088159937888199,0.004205893216344921,"[0.996288   0.99323605 0.99767273 1.         0.99840401 0.99294289
 0.99616061 0.99286509 0.99789887 1.         0.99227935 0.99053486
 0.99903432 1.         0.99639918 0.9994397  0.99900157 1.
 0.99958333 0.99970287]","[0.50904275 0.51547771 0.50738034 0.50983285 0.50776398 0.51076452
 0.51054074 0.49898612 0.51843716 0.50811107 0.50738491 0.49898612
 0.510116   0.50858604 0.50991505 0.50885093 0.50747168 0.50979174
 0.51076909 0.50811107]"
trad,20,0.9974252697777122,0.00266946485865245,0.5114861161856047,0.006636223260398022,"[0.99677826 0.99331205 0.99825455 1.         0.99855601 0.99602531
 0.99696049 0.99240178 0.99782883 1.         0.99184067 0.99316406
 0.99873719 1.         0.99676661 0.99915955 0.99885894 1.
 0.99986111 1.        ]","[0.51517629 0.52658933 0.51398429 0.51149982 0.51055901 0.51368743
 0.51933687 0.50223328 0.52193095 0.50905188 0.49898612 0.51262331
 0.49811381 0.51026215 0.51056814 0.51418067 0.50747168 0.51127147
 0.51219858 0.50999726]"
trad,30,0.9974149100999506,0.0028480217703899086,0.5179439166971137,0.018187661557080105,"[0.99502731 0.99749202 0.99869091 1.         0.99863201 0.9939974
 0.99352104 0.99369904 0.99817902 1.         0.99236708 0.99151142
 0.9991086  1.         0.99706055 0.9994397  0.9995721  1.
 1.         1.        ]","[0.50857234 0.55570881 0.51544118 0.51124406 0.55971867 0.54767537
 0.54894958 0.50866825 0.5189715  0.50709719 0.49810924 0.5012331
 0.50811107 0.51071429 0.5092163  0.51399342 0.50983741 0.50773201
 0.51118012 0.50670442]"
trad,40,0.9983324845238144,0.0017675065314683124,0.646804895871392,0.10244550521460541,"[0.99677826 0.99787202 0.99941818 1.         0.99734002 0.99740428
 0.99632059 0.99555226 0.99859924 1.         0.99403404 0.99609375
 0.99970287 1.         0.9983833  0.99971985 0.99985737 1.
 0.99972222 0.99985143]","[0.56456887 0.7039779  0.54801334 0.74650621 0.53650895 0.52898703
 0.53433047 0.51724059 0.84975795 0.79077    0.4960084  0.75486847
 0.69857508 0.70897881 0.61255937 0.7028544  0.6794894  0.6060696
 0.5979631  0.75806997]"
trad,50,0.9993539017527324,0.0006675793075052572,0.9399604950675924,0.05306809642601772,"[0.99873932 0.99893601 0.99985455 1.         0.99878401 0.99886437
 0.99904015 0.99907339 0.99971985 1.         0.99745569 0.99864784
 0.99970287 1.         0.99882422 0.99985992 0.99971473 1.
 0.99986111 1.        ]","[1.         0.8302795  0.9359061  0.90156193 0.97403179 0.99770734
 0.99166058 0.96468761 0.99985385 0.92394958 0.9277722  0.92811929
 0.99524114 0.99949763 0.93539003 0.96621301 0.83613902 0.85715656
 0.94240044 0.89164231]"
trad,60,0.9993550868305359,0.000680832126282968,0.94061472415053,0.05473136656625789,"[0.99859924 0.99863201 0.99985455 1.         0.99924001 0.99886437
 0.9987202  0.9983321  0.99985992 1.         0.99780663 0.99894832
 0.99970287 1.         0.99882422 0.99985992 0.99985737 1.
 1.         1.        ]","[1.         0.88686518 0.94103946 0.90901535 0.93997077 0.99852941
 0.99573438 0.97600475 0.9991962  0.91210267 0.95058001 0.94546949
 0.99533248 0.99981732 0.93539003 0.9592437  0.83271374 0.80121027
 0.94370661 0.89037267]"
trad,70,0.9993406303668607,0.0006801255055288064,0.9422510960906104,0.05598749329333644,"[0.99859924 0.99863201 0.99985455 1.         0.99924001 0.99886437
 0.9987202  0.9983321  0.99985992 1.         0.99780663 0.99879808
 0.99970287 1.         0.99882422 0.99985992 0.99985737 1.
 0.99986111 1.        ]","[1.         0.88686518 0.94103946 0.90901535 0.93997077 0.99852941
 0.99686701 0.97569419 0.99911399 0.91210267 0.95058001 0.97881805
 0.99481184 0.99976251 0.93539003 0.9592437  0.83271374 0.79652448
 0.94760687 0.89037267]"
trad,80,0.9993243881125841,0.0007065390208785983,0.9391432225063939,0.06609365648514937,"[0.99859924 0.99878401 0.99985455 1.         0.99924001 0.99837768
 0.9987202  0.99851742 0.99985992 1.         0.99763116 0.99879808
 0.99970287 1.         0.99882422 0.99985992 0.99985737 1.
 0.99986111 1.        ]","[1.         0.73413866 0.95026489 0.92279412 0.9278407  0.99988126
 0.99686701 0.96433138 0.999251   0.92550237 0.94658385 0.97881805
 0.99229996 0.9987669  0.93539003 0.96102484 0.83895232 0.83658202
 0.95400073 0.91957435]"
trad,90,0.999301403830277,0.0007197632474652823,0.9382576726342708,0.06496340251917188,"[0.99859924 0.99863201 0.99970909 1.         0.99924001 0.99821544
 0.9987202  0.99851742 0.99985992 1.         0.99763116 0.99879808
 0.99970287 1.         0.99882422 0.99985992 0.99985737 1.
 0.99986111 1.        ]","[1.         0.74134545 0.94588053 0.92092163 0.9278407  0.99977165
 0.99613628 0.96433138 0.999251   0.91721776 0.94658385 0.97881805
 0.99229996 0.9987669  0.93539003 0.96102484 0.84310833 0.83282791
 0.94406284 0.91957435]"
trad,100,0.999301403830277,0.0007197632474652823,0.9382576726342708,0.06496340251917188,"[0.99859924 0.99863201 0.99970909 1.         0.99924001 0.99821544
 0.9987202  0.99851742 0.99985992 1.         0.99763116 0.99879808
 0.99970287 1.         0.99882422 0.99985992 0.99985737 1.
 0.99986111 1.        ]","[1.         0.74134545 0.94588053 0.92092163 0.9278407  0.99977165
 0.99613628 0.96433138 0.999251   0.91721776 0.94658385 0.97881805
 0.99229996 0.9987669  0.93539003 0.96102484 0.84310833 0.83282791
 0.94406284 0.91957435]"
trad,max,0.999301403830277,0.0007197632474652823,0.9382576726342708,0.06496340251917188,"[0.99859924 0.99863201 0.99970909 1.         0.99924001 0.99821544
 0.9987202  0.99851742 0.99985992 1.         0.99763116 0.99879808
 0.99970287 1.         0.99882422 0.99985992 0.99985737 1.
 0.99986111 1.        ]","[1.         0.74134545 0.94588053 0.92092163 0.9278407  0.99977165
 0.99613628 0.96433138 0.999251   0.91721776 0.94658385 0.97881805
 0.99229996 0.9987669  0.93539003 0.96102484 0.84310833 0.83282791
 0.94406284 0.91957435]"
