type,size,auc_val_mean,auc_val_std,auc_test_mean,auc_test_std,auc_val,auc_test
gabor,1,0.991195806961717,0.004356373704499545,0.6076027584947024,0.0025910448625999466,"[0.98872391 0.99665603 0.99258182 0.99610523 0.99194406 0.99732317
 0.99056151 0.977298   0.99075501 0.98568229 0.98903316 0.98880709
 0.98922894 0.99453846 0.99007937 0.9911052  0.99251177 0.99126007
 0.99506944 0.99465161]","[0.60542565 0.6068734  0.60733467 0.60492327 0.60616094 0.60734381
 0.61337687 0.60764523 0.60254384 0.60743058 0.60734381 0.6069008
 0.60640756 0.61218944 0.60574534 0.60586408 0.60938528 0.61228535
 0.60996072 0.6069145 ]"
gabor,2,0.9946614709818551,0.00521639948456963,0.8558510686883448,0.009142402623034597,"[0.996288   0.99680803 0.99629091 0.99926514 0.99399605 0.99943219
 0.99240122 0.9983321  0.99117523 0.99264118 0.99868398 0.99737079
 0.99130887 0.99253846 0.97611699 0.99040482 0.9991442  0.99407205
 0.99993056 0.99702867]","[0.83898886 0.8548913  0.84946109 0.84449214 0.85548502 0.85184052
 0.86583394 0.85960906 0.84389386 0.86298411 0.87252923 0.85041103
 0.85940811 0.8665875  0.85256668 0.85327457 0.86239953 0.86088783
 0.86936427 0.84211271]"
gabor,3,0.9947274892993218,0.004522805514222843,0.8987095816587505,0.007134071929929653,"[0.99516739 0.99559204 0.99578182 1.         0.99574403 1.
 0.99488082 0.99777613 0.99355652 0.99480083 0.99728022 0.99594351
 0.99457733 0.99415385 0.98228983 0.99320633 0.99629154 0.98252014
 0.99944444 0.99554301]","[0.8996529  0.89970314 0.89006211 0.90310559 0.89753836 0.89525027
 0.89016715 0.89852941 0.90498721 0.89563847 0.90799689 0.89529138
 0.8899388  0.91138107 0.88887468 0.89403087 0.90174918 0.9036856
 0.91462824 0.89198027]"
gabor,4,0.9947001760591203,0.004863392472745671,0.9098572798684691,0.007567272289148711,"[0.99558762 0.99566803 0.99570909 1.         0.99650403 1.
 0.99120141 0.99944403 0.98732315 0.99232123 1.         0.99969952
 0.98997177 0.992      0.98478836 0.99145539 1.         0.98639611
 0.99972222 0.99621156]","[0.90498265 0.89589879 0.91474699 0.91033522 0.90918433 0.91205243
 0.89425923 0.91809006 0.91752375 0.91669255 0.9194008  0.90659938
 0.89817775 0.91778864 0.91552338 0.91084673 0.90042017 0.90947662
 0.91719035 0.90795579]"
gabor,5,0.9951829833095639,0.004470467236967056,0.9161141304347826,0.013527364631986952,"[0.99544754 0.99559204 0.99461818 1.         0.99612403 0.99991888
 0.9906415  0.99907339 0.99159546 0.99816029 0.99964906 0.99969952
 0.99257168 0.99161538 0.9845679  0.99257599 1.         0.98677611
 0.99986111 0.99517159]","[0.92250183 0.92258403 0.90260778 0.92912861 0.9282015  0.91642766
 0.90339788 0.9109198  0.92421904 0.89781239 0.91811746 0.92647059
 0.88591067 0.93386463 0.89143223 0.90863628 0.92711454 0.92331476
 0.93380983 0.91581111]"
gabor,10,0.996601517037711,0.0025123123019600425,0.8385645780051151,0.021657845883977084,"[0.99236588 0.99582003 0.99767273 1.         0.99513604 0.9974854
 0.99048152 0.99453299 0.99642807 0.99984003 0.99473592 0.99391526
 0.99665726 0.99623077 0.9962522  0.99789887 0.99950078 0.99840401
 0.99986111 0.99881147]","[0.83651809 0.81870661 0.81298867 0.8402859  0.82166149 0.81406193
 0.80531147 0.84564761 0.81515345 0.84483011 0.88568232 0.86067775
 0.8125274  0.87521465 0.85253014 0.84791286 0.85484563 0.84170625
 0.85625228 0.82877695]"
gabor,20,0.9870613378176465,0.008298994088953222,0.6020606503470954,0.05492012220003668,"[0.98108979 0.9871561  0.98538182 0.99875073 0.9873841  0.98961713
 0.98632219 0.99166049 0.97975907 0.99952008 0.99245482 0.98925781
 0.98492052 0.99084615 0.96502058 0.98235047 0.99857367 0.97195622
 0.99354167 0.98566335]","[0.50506942 0.55043844 0.6390802  0.60434783 0.5717437  0.55767263
 0.55893771 0.65327914 0.53455426 0.69321794 0.69238217 0.60355773
 0.67657106 0.52272104 0.67399982 0.62094446 0.57400438 0.60928023
 0.6108513  0.58855955]"
gabor,30,0.9903107332834289,0.005119955254077166,0.49991459627329177,0.032617183719971944,"[0.98585236 0.99042408 0.98996364 0.99919165 0.98989208 0.99099611
 0.9893617  0.99193847 0.98620255 0.99840026 0.98964731 0.99301382
 0.9854405  0.99092308 0.98059965 0.98613251 0.9991442  0.98130415
 0.99618056 0.991606  ]","[0.47666697 0.47972689 0.53330745 0.48564578 0.47932042 0.47591798
 0.46959719 0.53277768 0.48009225 0.57764432 0.55721593 0.49042291
 0.54971684 0.47347004 0.50838053 0.51845543 0.4624452  0.49638747
 0.47710541 0.47399525]"
gabor,40,0.991304574480775,0.005176961041043363,0.4869074260138838,0.010588284076415991,"[0.98977448 0.99103207 0.99047273 0.99926514 0.99072807 0.98815704
 0.99256119 0.99332839 0.9859224  0.99832027 0.98973504 0.99451623
 0.98729758 0.993      0.97986479 0.98991455 0.99900157 0.98191214
 0.99923611 0.9920517 ]","[0.47399068 0.48645415 0.4899114  0.47410486 0.47732006 0.4835084
 0.47610979 0.49003928 0.49587139 0.4999726  0.49648794 0.48457252
 0.499557   0.47928389 0.50557636 0.49218122 0.49072433 0.50032883
 0.46697114 0.47518268]"
gabor,50,0.9884453803276763,0.00604170472135427,0.48465404640116905,0.005438111170910533,"[0.98956436 0.98685211 0.98741818 0.9983833  0.98609211 0.9864536
 0.98976164 0.98702743 0.98354111 0.99808031 0.9848219  0.9914363
 0.98306344 0.99       0.97560259 0.98459168 0.99793182 0.98054416
 0.99895833 0.98878324]","[0.48319328 0.49579832 0.49375228 0.48110157 0.48323895 0.48739496
 0.48319328 0.48001461 0.49159664 0.48112897 0.48123858 0.48116551
 0.4842574  0.48122488 0.49280691 0.48749543 0.48529412 0.4874863
 0.47480818 0.47689076]"
