type,size,auc_val_mean,auc_val_std,auc_test_mean,auc_test_std,auc_val,auc_test
trad,1,0.998810576256278,0.0011569787909256148,0.5,0.0,"[0.99782883 0.99886001 0.9984     1.         0.99810002 0.99845879
 0.99808031 0.99777613 0.99971985 1.         0.99613967 0.99624399
 0.99918289 1.         0.99911817 0.99971985 0.99893025 1.
 0.99965278 1.        ]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
trad,2,0.9988141342897287,0.0011563199629949054,0.5,0.0,"[0.99782883 0.99886001 0.9984     1.         0.99817601 0.99845879
 0.99808031 0.99777613 0.99971985 1.         0.99613967 0.99624399
 0.9991086  1.         0.99911817 0.99971985 0.99893025 1.
 0.99972222 1.        ]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
trad,3,0.9985908291546546,0.0013507402540783148,0.5,0.0,"[0.99775879 0.99863201 0.99774545 1.         0.99817601 0.99862103
 0.99824028 0.99694218 0.99978989 1.         0.99657835 0.99466647
 0.99962858 0.99969231 0.99882422 0.99908951 0.99807445 0.999848
 0.99958333 0.99992572]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
trad,4,0.9982705711658626,0.001586839808603987,0.5,0.0,"[0.99747864 0.99855601 0.99738182 1.         0.99787202 0.99853991
 0.99784035 0.99601557 0.99957977 0.99976004 0.99535006 0.9940655
 0.99925717 0.99969231 0.99779541 0.99908951 0.99800314 0.999848
 0.99958333 0.99970287]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
trad,5,0.9981896607807771,0.001481718776926404,0.5,0.0,"[0.9974086  0.99848001 0.99687273 1.         0.99810002 0.99878326
 0.99808031 0.99629355 0.99929962 0.99968005 0.99605194 0.99399038
 0.99836577 0.99976923 0.99757496 0.99887939 0.99778919 0.99908801
 0.99958333 0.99970287]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
trad,10,0.997947643670168,0.001601648297630474,0.5,0.0,"[0.99768875 0.99840401 0.99650909 1.         0.99787202 0.99829656
 0.99784035 0.99564492 0.99887939 0.99968005 0.99535006 0.9936899
 0.99829149 0.99976923 0.99720752 0.99908951 0.99743261 0.99832801
 0.99972222 0.99925717]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
trad,20,0.998140364820082,0.0012092131783262544,0.5,0.0,"[0.99817902 0.99794802 0.99709091 1.         0.99718802 0.99780986
 0.99704047 0.99675686 0.99733856 1.         0.99657835 0.99609375
 0.99732581 0.99876923 0.99882422 1.         0.99843104 0.99817601
 1.         0.99925717]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
trad,30,0.9970894469493683,0.0018874162139626057,0.5008152173913043,0.0005828155051501759,"[0.99803894 0.99612403 0.99578182 1.         0.99574403 0.9944841
 0.99552072 0.99444033 0.9942569  0.99968005 0.99666608 0.99624399
 0.99606299 0.99776923 0.99794239 1.         0.99921552 0.99597203
 1.         0.99784579]","[0.5        0.50108696 0.50108696 0.50108696 0.50108696 0.50108696
 0.5        0.50108696 0.5        0.5        0.50217391 0.50108696
 0.5        0.50108696 0.5        0.50108696 0.50108696 0.50108696
 0.50108696 0.50108696]"
trad,40,0.9966716226885172,0.0020598302265938495,0.5000543478260869,0.00023689668171415358,"[0.99789887 0.99490804 0.99578182 1.         0.99483204 0.99391629
 0.99520077 0.99360638 0.9942569  0.99888018 0.99666608 0.99609375
 0.99569158 0.99623077 0.99794239 1.         0.9991442  0.99490804
 1.         0.99747437]","[0.5        0.5        0.5        0.5        0.5        0.5
 0.5        0.5        0.5        0.5        0.50108696 0.5
 0.5        0.5        0.5        0.5        0.5        0.5
 0.5        0.5       ]"
trad,50,0.9976009553688666,0.001964029587280278,0.4997935696017537,0.00143583511997836,"[0.99859924 0.99544004 0.99738182 1.         0.99627603 0.99424075
 0.99568069 0.99703484 0.99439697 1.         0.99877171 0.9984976
 0.99598871 0.99753846 0.99985303 1.         0.99985737 0.99513604
 1.         0.99732581]","[0.5        0.5        0.5        0.5        0.5        0.5
 0.5        0.50108696 0.5        0.5        0.50108696 0.5
 0.5        0.5        0.49369748 0.5        0.5        0.5
 0.5        0.5       ]"
trad,60,0.9973230654782951,0.0021814726630951307,0.5355443916697114,0.010491924307489573,"[0.99859924 0.99536404 0.99629091 0.99992651 0.99642803 0.99351071
 0.99496081 0.99601557 0.99439697 1.         0.99894718 0.9984976
 0.99554301 0.99738462 0.99963257 1.         1.         0.99414805
 0.99986111 0.99695439]","[0.53911217 0.53657746 0.53699306 0.54039551 0.52643862 0.54806357
 0.52196292 0.55532974 0.52103124 0.51839149 0.54908202 0.53896145
 0.52695013 0.52882262 0.55560376 0.53610248 0.5306266  0.53368195
 0.54001644 0.52674461]"
trad,70,0.9970448915165642,0.0023867873054473692,0.5669615454877602,0.01774376839995084,"[0.99873932 0.99475604 0.99541818 0.99985303 0.99574403 0.99253731
 0.99528076 0.99536694 0.99453705 1.         0.99859624 0.99857272
 0.99554301 0.99723077 0.99926514 1.         1.         0.99323605
 0.99986111 0.99636012]","[0.55549872 0.5777722  0.56404366 0.55883266 0.58212002 0.57367099
 0.54195287 0.57509134 0.5423365  0.56434052 0.60339788 0.55276763
 0.55356686 0.59708623 0.57881348 0.58953233 0.54694465 0.5657426
 0.5411171  0.57460267]"
trad,80,0.9972667903898236,0.00239842594597246,0.5857923821702594,0.0254094461302861,"[0.99887939 0.99582003 0.99527273 0.99985303 0.99597203 0.99253731
 0.99520077 0.9954596  0.99460709 1.         0.99912265 0.99947416
 0.99606299 0.99753846 0.99963257 1.         1.         0.99323605
 0.99986111 0.99680582]","[0.57771739 0.57386737 0.58080471 0.57055627 0.62505937 0.59511326
 0.54535988 0.60586865 0.54321794 0.60369474 0.60330654 0.58362258
 0.59002558 0.62561655 0.60906558 0.61702137 0.55955882 0.55580015
 0.5487532  0.60181768]"
trad,90,0.9972636276799918,0.002351696663445048,0.5898271373766898,0.027291994531878014,"[0.99880936 0.99566803 0.99534545 0.99985303 0.99574403 0.99237508
 0.99544073 0.99564492 0.99474716 1.         0.99903492 0.99939904
 0.99636012 0.99730769 0.99926514 1.         1.         0.99338805
 0.99986111 0.99702867]","[0.57825174 0.57843898 0.58607965 0.56633175 0.62537906 0.59658385
 0.55481823 0.59804987 0.54912313 0.60233376 0.60072159 0.57364815
 0.60304165 0.6310559  0.64388473 0.62808732 0.56437249 0.5617099
 0.55222872 0.60240227]"
trad,100,0.9972568305991618,0.00233309131965656,0.5929233649981732,0.02717554870608056,"[0.99873932 0.99544004 0.99534545 0.99985303 0.99589603 0.99253731
 0.99544073 0.9954596  0.99453705 1.         0.99912265 0.99917368
 0.99636012 0.99746154 0.99919165 1.         1.         0.99354005
 0.99986111 0.99717724]","[0.58859152 0.58011509 0.59092528 0.56912221 0.63114724 0.5894821
 0.55672726 0.60623858 0.55471776 0.60482737 0.60619748 0.57784527
 0.60570881 0.63526672 0.64257855 0.63064943 0.56312569 0.56890756
 0.55260322 0.60369017]"
trad,max,0.9972568305991618,0.00233309131965656,0.5929233649981732,0.02717554870608056,"[0.99873932 0.99544004 0.99534545 0.99985303 0.99589603 0.99253731
 0.99544073 0.9954596  0.99453705 1.         0.99912265 0.99917368
 0.99636012 0.99746154 0.99919165 1.         1.         0.99354005
 0.99986111 0.99717724]","[0.58859152 0.58011509 0.59092528 0.56912221 0.63114724 0.5894821
 0.55672726 0.60623858 0.55471776 0.60482737 0.60619748 0.57784527
 0.60570881 0.63526672 0.64257855 0.63064943 0.56312569 0.56890756
 0.55260322 0.60369017]"
