type,size,auc_val_mean,auc_val_std,auc_test_mean,auc_test_std,auc_val,auc_test
deep_MNIST,1,0.8382478480565089,0.02813138494513643,0.9517446108878331,2.220446049250313e-16,"[0.86846897 0.84663323 0.83127273 0.82598471 0.8378173  0.85447761
 0.84802432 0.84358784 0.85586217 0.79907215 0.87717143 0.83368389
 0.76675085 0.83661538 0.79541446 0.88793949 0.86449864 0.81592947
 0.82625    0.8495023 ]","[0.95174461 0.95174461 0.95174461 0.95174461 0.95174461 0.95174461
 0.95174461 0.95174461 0.95174461 0.95174461 0.95174461 0.95174461
 0.95174461 0.95174461 0.95174461 0.95174461 0.95174461 0.95174461
 0.95174461 0.95174461]"
deep_MNIST,2,0.8445785548913802,0.02741913218530278,0.7603347643405189,0.04429687755870606,"[0.8677686  0.84936921 0.82210909 0.84553204 0.83006536 0.86632057
 0.85506319 0.86489993 0.85824345 0.80003199 0.88331286 0.85111178
 0.77789333 0.81846154 0.8196649  0.88247654 0.86278705 0.82352941
 0.83638889 0.87654138]","[0.73702959 0.72207709 0.72377603 0.80900621 0.71824077 0.78941359
 0.76020278 0.81704421 0.76290647 0.74740592 0.74387103 0.79784436
 0.76131714 0.68933138 0.82526489 0.70463098 0.69828279 0.77592254
 0.76604859 0.85707892]"
deep_MNIST,3,0.8466342044134677,0.027988192769166167,0.7414189806357325,0.051369278574583746,"[0.86594761 0.85651315 0.82123636 0.84817754 0.82368141 0.87021415
 0.85858263 0.87323944 0.8631461  0.80643097 0.888226   0.84540264
 0.77819046 0.82569231 0.81422693 0.88121586 0.86036229 0.83067335
 0.84097222 0.88055267]","[0.71311655 0.70585495 0.7028407  0.79622762 0.6798776  0.77726525
 0.74059189 0.81402996 0.73927658 0.73473694 0.73340336 0.77800512
 0.72755754 0.66682499 0.81217574 0.67688162 0.66312569 0.75907015
 0.752384   0.85513336]"
deep_MNIST,4,0.8459088395073291,0.027998274375402272,0.7400296857873585,0.05164708425431654,"[0.86524723 0.85468916 0.82152727 0.84553204 0.82155343 0.86940299
 0.85906255 0.87268347 0.86216557 0.80755079 0.88875241 0.84675481
 0.77819046 0.82384615 0.81363904 0.88051548 0.86036229 0.82869737
 0.83819444 0.87980984]","[0.71146328 0.70240227 0.69996346 0.79249178 0.67415966 0.77647972
 0.73881074 0.81481549 0.73845451 0.73411582 0.73251735 0.77464377
 0.72775849 0.66715382 0.81186518 0.67531056 0.66285166 0.75931677
 0.75234746 0.8536719 ]"
deep_MNIST,5,0.8448432746638834,0.027935966375095937,0.7386102484472049,0.0503430510164114,"[0.86566746 0.85468916 0.82050909 0.84347443 0.82155343 0.86940299
 0.8593825  0.87064492 0.86104496 0.80595105 0.88682225 0.8366887
 0.77819046 0.82338462 0.81378601 0.88093571 0.86021965 0.82854537
 0.8375     0.87847274]","[0.71033065 0.70421081 0.69180672 0.78160395 0.67510961 0.77854403
 0.7403544  0.80419255 0.74525941 0.72408659 0.74143223 0.79661125
 0.72981366 0.66381074 0.80063025 0.66815857 0.66543661 0.75953599
 0.74911399 0.84216295]"
deep_MNIST,10,0.8639894795797733,0.02086444447499028,0.999999543295579,1.990728417762946e-06,"[0.87491245 0.86684907 0.85352727 0.87683715 0.85575315 0.90622972
 0.85794273 0.87991105 0.85600224 0.82466805 0.87664503 0.87875601
 0.8194919  0.84076923 0.85023516 0.87771397 0.87633718 0.84724122
 0.86708333 0.89288367]","[1.         1.         1.         1.         0.99999087 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]"
deep_MNIST,20,0.8781748616339182,0.020315267448683817,0.9999794483010597,5.1173317675311274e-05,"[0.88093571 0.89116887 0.86661818 0.89226925 0.86183311 0.91385464
 0.86194209 0.9108599  0.86986973 0.84034554 0.90419372 0.89077524
 0.85603922 0.85292308 0.86654909 0.87589298 0.89987163 0.874449
 0.85680556 0.8963007 ]","[1.         1.         0.9999726  1.         1.         0.99986299
 1.         1.         1.         1.         1.         1.
 1.         0.99999087 1.         0.99999087 0.9999726  1.
 0.99979905 1.        ]"
deep_MNIST,30,0.891189268324678,0.018870834661452816,0.9993893861892584,0.0010571628164245189,"[0.87631321 0.89466484 0.8752     0.9132863  0.86380909 0.91774822
 0.88113902 0.92438844 0.89424289 0.86306191 0.92314441 0.88701923
 0.87564998 0.88276923 0.87139918 0.90012607 0.91056911 0.87779298
 0.88416667 0.90729461]","[0.99999087 0.99972598 0.99966204 0.99946109 0.99901352 0.99532335
 0.99960723 1.         1.         0.99995433 0.99999087 0.99956156
 0.99968031 1.         0.99947022 0.9991688  0.99978078 0.99964377
 0.99778955 0.99996346]"
deep_MNIST,40,0.8878049220161184,0.021770000526500483,0.9995277676287906,0.000735150000513797,"[0.87113041 0.89405685 0.87869091 0.92004703 0.86472108 0.91758598
 0.86082227 0.91493699 0.89256198 0.84530475 0.92331988 0.89813702
 0.87401575 0.87723077 0.87654321 0.87715366 0.91085437 0.87232102
 0.87625    0.9104145 ]","[1.         0.99950676 0.99989953 0.99984472 0.99852028 0.99765254
 0.99978992 1.         1.         0.99998173 0.99996346 0.99990866
 0.9999726  0.9999726  0.99991779 0.99785349 0.99975338 0.99966204
 0.99843807 0.99991779]"
deep_MNIST,50,0.8892663104188202,0.021580497788526005,0.9999803617099013,7.555801638584111e-05,"[0.86552738 0.88843289 0.88450909 0.92857143 0.87353701 0.91304348
 0.86114222 0.91512231 0.87687351 0.84770437 0.92525004 0.89738582
 0.88604962 0.87938462 0.8787478  0.87841434 0.91199544 0.88144095
 0.87791667 0.91427722]","[1.         1.         1.         1.         1.         0.99996346
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.9996529  1.         1.
 0.99999087 1.        ]"
deep_MNIST,60,0.8985549945837189,0.019637494440606747,1.0,0.0,"[0.88009525 0.89496884 0.89061818 0.92254556 0.88493692 0.92164179
 0.86530155 0.92939214 0.88920017 0.8581027  0.9329707  0.90715144
 0.89689496 0.88753846 0.89300412 0.88835971 0.91056911 0.89512084
 0.90083333 0.92185411]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
deep_MNIST,70,0.8922641314846216,0.020252476165128718,0.9999977164778955,7.001146198726494e-06,"[0.8786945  0.89633683 0.88407273 0.91475603 0.88387293 0.91855938
 0.85842265 0.92475908 0.87379185 0.85602304 0.92682927 0.90519832
 0.89110088 0.87753846 0.87830688 0.87281132 0.90044216 0.89116887
 0.89638889 0.91620859]","[1.         1.         1.         1.         1.         0.9999726
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.99998173 1.         1.
 1.         1.        ]"
deep_MNIST,80,0.8900522751313119,0.02366483832233958,0.9999949762513701,1.3994842387688925e-05,"[0.87589298 0.8999848  0.88203636 0.91460905 0.88949688 0.92878001
 0.85394337 0.92420311 0.86580754 0.83666613 0.92314441 0.90534856
 0.88783242 0.87292308 0.88345091 0.86902928 0.90044216 0.88280894
 0.89111111 0.91353439]","[1.         1.         1.         1.         1.         0.99999087
 1.         1.         1.         1.         1.         1.
 1.         1.         0.9999452  1.         1.         0.99996346
 1.         1.        ]"
