type,size,auc_val_mean,auc_val_std,auc_test_mean,auc_test_std,auc_val,auc_test
gabor,1,0.9913678212214977,0.00428963088351863,0.6162860796492511,1.1102230246251565e-16,"[0.98935425 0.99680803 0.99330909 0.99617872 0.99224806 0.99772875
 0.99040154 0.9777613  0.98991455 0.98640218 0.98929637 0.98873197
 0.98870896 0.99476923 0.99132863 0.99061493 0.99215518 0.99240006
 0.99444444 0.99480018]","[0.61628608 0.61628608 0.61628608 0.61628608 0.61628608 0.61628608
 0.61628608 0.61628608 0.61628608 0.61628608 0.61628608 0.61628608
 0.61628608 0.61628608 0.61628608 0.61628608 0.61628608 0.61628608
 0.61628608 0.61628608]"
gabor,2,0.9954332238913322,0.003446118028724102,0.9242893679210814,0.0021969421417114988,"[0.99607788 0.99772002 0.99767273 0.99911817 0.99513604 0.99935107
 0.99024156 0.99796145 0.99019471 0.99184131 0.99877171 0.99744591
 0.99078889 0.992      0.99176955 0.99033478 0.9987163  0.99604803
 1.         0.99747437]","[0.92190354 0.91994885 0.92668981 0.92254293 0.92320972 0.92483559
 0.92394958 0.9261783  0.924251   0.92782243 0.92610522 0.92114541
 0.92753928 0.9245433  0.92696383 0.92468944 0.92065217 0.92340153
 0.92489039 0.92452503]"
gabor,3,0.996307858811667,0.002667532738393642,0.935554895871392,0.004465099391632386,"[0.99551758 0.99650403 0.9968     1.         0.99483204 0.9995133
 0.99424092 0.99722016 0.99523743 0.99760038 0.99894718 0.99774639
 0.99494874 0.99538462 0.98956496 0.99649811 0.99885894 0.99057608
 0.99958333 0.99658297]","[0.93112897 0.92628791 0.94061016 0.93200585 0.93242601 0.93628973
 0.93509317 0.93969675 0.93583303 0.94245524 0.93963281 0.93012422
 0.94176105 0.93606138 0.94123128 0.93775119 0.92881805 0.93248995
 0.93691999 0.93448118]"
gabor,4,0.9959624741390931,0.0033402088620776904,0.9298967848008768,0.0074103080457567526,"[0.99649811 0.99635203 0.9952     1.         0.99620003 1.
 0.99392097 0.99925871 0.99229584 0.99600064 0.99982453 0.99984976
 0.99212598 0.99384615 0.99000588 0.99383667 0.99985737 0.98966408
 0.99986111 0.99465161]","[0.92168433 0.91544574 0.93833577 0.92287176 0.92393131 0.9310011
 0.92754841 0.93808001 0.92927475 0.94061016 0.93719401 0.92161125
 0.94059189 0.93010596 0.93937706 0.93459993 0.91941907 0.92654366
 0.9318049  0.92790464]"
gabor,5,0.996713244889311,0.0030888103680905697,0.9465948118377785,0.001994558666365403,"[0.99803894 0.99817601 0.99505455 1.         0.99832801 0.99983777
 0.99552072 0.99925871 0.99229584 0.99776036 1.         1.
 0.99316595 0.99584615 0.99074074 0.9942569  1.         0.99118407
 1.         0.99480018]","[0.94452868 0.94179759 0.94891304 0.94486664 0.94524114 0.94739678
 0.94644684 0.94871209 0.94717757 0.94877603 0.94788089 0.94404457
 0.94877603 0.94736938 0.94831933 0.94830106 0.94335038 0.94578919
 0.94771648 0.94649251]"
gabor,10,0.9982891127040657,0.0011001865711201039,0.9396529046401169,0.007205300811423438,"[0.99789887 0.99848001 0.99752727 1.         0.99787202 0.99886437
 0.99600064 0.99796145 0.99775879 0.99984003 0.99894718 0.99879808
 0.99702867 0.99892308 0.99617872 0.99803894 0.9995721  0.99756802
 0.99986111 0.9986629 ]","[0.93639934 0.93335769 0.94831019 0.93416149 0.9319145  0.9330106
 0.93335769 0.9479905  0.93687431 0.94947022 0.94685787 0.93354951
 0.95091341 0.93678297 0.95021008 0.95055718 0.93375959 0.93399708
 0.93308367 0.93850018]"
gabor,20,0.9896939323740398,0.0062594190601131935,0.6754959810010961,0.04544300282928165,"[0.98641266 0.98996808 0.98836364 0.99897119 0.98601611 0.98767034
 0.98832187 0.99369904 0.98613251 0.99984003 0.9891209  0.9914363
 0.98766899 0.99538462 0.97354497 0.9844516  0.9995721  0.98176015
 0.99638889 0.98915466]","[0.62478078 0.65075813 0.73206065 0.67862623 0.63224333 0.65580015
 0.6479357  0.70107782 0.61270552 0.78158568 0.74910486 0.63836317
 0.74372488 0.67705517 0.68683778 0.69786262 0.66201133 0.63090976
 0.67315491 0.63332115]"
gabor,30,0.9921942843455629,0.00442670844925674,0.7121236755571794,0.05090440096360873,"[0.99075501 0.99148807 0.99098182 0.99955908 0.98860009 0.98977936
 0.99216125 0.99518162 0.98893402 0.9987202  0.99052465 0.99459135
 0.98841183 0.99323077 0.98368607 0.99117523 0.99971473 0.98525612
 0.99930556 0.99182885]","[0.64894958 0.68083668 0.76408476 0.70830289 0.6705791  0.68679211
 0.69655645 0.75434783 0.63599744 0.82812386 0.79897698 0.68729448
 0.76867008 0.70939898 0.71962002 0.75686883 0.70490501 0.64018999
 0.71282426 0.66915418]"
gabor,40,0.9940396233787505,0.0038748042669263143,0.6284234563390575,0.03826468108227511,"[0.98935425 0.99133607 0.99330909 0.99955908 0.99224806 0.99140169
 0.9931211  0.99481097 0.98977448 0.99968005 0.99192841 0.99669471
 0.99123459 0.994      0.98956496 0.99831909 0.99942947 0.9873841
 0.99972222 0.99792007]","[0.56327183 0.60400986 0.66207526 0.62383997 0.61817684 0.60696931
 0.60421995 0.65851297 0.56401169 0.72551151 0.6702046  0.60316039
 0.65425649 0.62099014 0.64657472 0.67900986 0.61222141 0.5911582
 0.62841615 0.63187797]"
gabor,50,0.9935586840163039,0.004014789221480289,0.6238372305443917,0.03519217155290241,"[0.98935425 0.98860009 0.99258182 0.99941211 0.99224806 0.99237508
 0.99264118 0.99369904 0.98893402 0.9987202  0.99192841 0.99714543
 0.99064032 0.99323077 0.98912404 0.99789887 0.99942947 0.98677611
 1.         0.99643441]","[0.57805992 0.62636098 0.65458531 0.60490501 0.60986482 0.60345269
 0.61139021 0.64980818 0.5701772  0.72216843 0.66694373 0.59983559
 0.6512057  0.62721045 0.63058093 0.65848557 0.59281147 0.58033431
 0.61491597 0.62364815]"
