type,size,auc_val_mean,auc_val_std,auc_test_mean,auc_test_std,auc_val,auc_test
trad,1,0.9987966198062616,0.0011701188399023217,0.8039824625502374,0.0,"[0.99775879 0.99878401 0.99825455 1.         0.99802402 0.99837768
 0.99808031 0.99814678 0.99971985 1.         0.99631514 0.99594351
 0.9991086  1.         0.99911817 0.99971985 0.99885894 1.
 0.99972222 1.        ]","[0.80398246 0.80398246 0.80398246 0.80398246 0.80398246 0.80398246
 0.80398246 0.80398246 0.80398246 0.80398246 0.80398246 0.80398246
 0.80398246 0.80398246 0.80398246 0.80398246 0.80398246 0.80398246
 0.80398246 0.80398246]"
trad,2,0.9987966198062616,0.0011701188399023217,0.9204356960175375,0.002828938075844356,"[0.99775879 0.99878401 0.99825455 1.         0.99802402 0.99837768
 0.99808031 0.99814678 0.99971985 1.         0.99631514 0.99594351
 0.9991086  1.         0.99911817 0.99971985 0.99885894 1.
 0.99972222 1.        ]","[0.92075265 0.92165692 0.91743697 0.9229905  0.92472598 0.91926379
 0.91794848 0.92032335 0.91735477 0.92351114 0.92031421 0.91966569
 0.92099927 0.92648886 0.92275301 0.91843259 0.91342711 0.92120935
 0.9201498  0.91930946]"
trad,3,0.9986364232666018,0.0013129616552463705,0.9522026854219948,0.0008251842599932569,"[0.99775879 0.99863201 0.99781818 1.         0.99817601 0.99853991
 0.99824028 0.99703484 0.99971985 1.         0.99666608 0.99489183
 0.99970287 0.99969231 0.99882422 0.99915955 0.9982884  1.
 0.99958333 1.        ]","[0.95265802 0.95227439 0.95183595 0.95258495 0.95262148 0.95201863
 0.9515528  0.95232006 0.95191816 0.95256668 0.95298685 0.95343442
 0.95124224 0.95342528 0.95297771 0.95227439 0.95035623 0.95258495
 0.95031969 0.95210084]"
trad,4,0.9984406147040467,0.0015176805190767065,0.9596743697478992,0.0008932852444215873,"[0.99761871 0.99863201 0.99752727 1.         0.99802402 0.99853991
 0.99792033 0.99647887 0.99957977 0.99984003 0.99613967 0.99399038
 0.99940573 0.99969231 0.99867725 0.99915955 0.99800314 1.
 0.99958333 1.        ]","[0.96001096 0.95952685 0.95987395 0.95938071 0.95965473 0.95969127
 0.95948118 0.9604494  0.95928023 0.95959079 0.96129887 0.9616551
 0.95857691 0.96033065 0.96011144 0.95988308 0.958924   0.95928023
 0.95733467 0.95915236]"
trad,5,0.9982480406310158,0.0014789809053483035,0.9621707161125318,0.0006930568964471107,"[0.99761871 0.99863201 0.99694545 1.         0.99832801 0.99870214
 0.99808031 0.99629355 0.9994397  0.99984003 0.9959642  0.99414062
 0.99851434 0.99984615 0.99750147 0.99887939 0.9978605  0.99908801
 0.99958333 0.99970287]","[0.96253197 0.96194739 0.96234015 0.96195652 0.96230362 0.96231275
 0.96219401 0.96296127 0.96185605 0.96206613 0.96325356 0.96351845
 0.96137194 0.96257764 0.96256851 0.96229448 0.96160943 0.96189258
 0.96017537 0.9616825 ]"
trad,10,0.9984640942551246,0.0014531365584981673,0.5329909572524663,0.007941564494393535,"[0.99761871 0.99863201 0.99709091 1.         0.99832801 0.99870214
 0.99824028 0.99647887 0.99929962 1.         0.99613967 0.99444111
 0.9991086  1.         0.99823633 0.9994397  0.99843104 0.999392
 1.         0.99970287]","[0.53683778 0.52182134 0.54134088 0.52984107 0.53516624 0.5298502
 0.52732919 0.53204238 0.52591341 0.52470771 0.53978809 0.5544209
 0.5318323  0.53175009 0.53531239 0.53865546 0.54427293 0.53073621
 0.52855316 0.51964742]"
trad,20,0.9986565860082776,0.0010748743415174016,0.554345542564852,0.003087364954364237,"[0.99803894 0.99893601 0.99796364 1.         0.99863201 0.99707982
 0.99808031 0.99814678 0.99803894 1.         0.99701702 0.99624399
 0.99896004 0.99969231 0.99941211 1.         0.99885894 0.99832801
 1.         0.99970287]","[0.5495433  0.55145232 0.55623858 0.55250274 0.5576909  0.55717939
 0.55208257 0.55732554 0.55902448 0.55027402 0.55210997 0.55933504
 0.5540738  0.5552795  0.55055718 0.55332481 0.55652174 0.55843076
 0.55290464 0.55105955]"
trad,30,0.9982383194713316,0.0015096729130579683,0.5288824442820607,0.004415424836575527,"[0.99761871 0.99832801 0.99796364 1.         0.99756802 0.9939974
 0.99712046 0.99814678 0.99831909 1.         0.99736796 0.99624399
 0.99896004 0.99953846 0.99897119 1.         0.9987163  0.99635203
 1.         0.9995543 ]","[0.52565765 0.52712824 0.5286171  0.52690902 0.5355042  0.5375137
 0.52603215 0.53238948 0.53282791 0.52547497 0.5281878  0.53735842
 0.52224151 0.52720132 0.52398612 0.5262057  0.52888199 0.5338966
 0.52828827 0.52334673]"
trad,40,0.9964566898851135,0.0031708657728358185,0.671746437705517,0.027974704735365317,"[0.99649811 0.99316005 0.99796364 1.         0.99437604 0.98848151
 0.99328108 0.99462565 0.99691834 1.         0.99684155 0.99549279
 0.9986629  0.99784615 0.99926514 1.         0.99885894 0.99057608
 1.         0.99628584]","[0.69021739 0.70709719 0.65736208 0.63642674 0.71353672 0.73149434
 0.69251005 0.70995616 0.6402722  0.65129704 0.65491414 0.68375959
 0.64164231 0.67788637 0.62699123 0.67436061 0.66806723 0.655654
 0.65388199 0.66760139]"
trad,50,0.9980479154437487,0.0026211885131490376,0.8169460175374498,0.02184002330893827,"[0.99831909 0.99832801 0.99956364 1.         0.99802402 0.99042829
 0.99616061 0.99740549 0.99859924 1.         0.99859624 0.9984976
 0.99970287 0.99861538 1.         0.99915955 0.99971473 0.99103207
 1.         0.99881147]","[0.82616916 0.85461271 0.82693643 0.79336865 0.83029777 0.8391487
 0.81233102 0.82582207 0.82367556 0.81181038 0.77106321 0.78692912
 0.79992693 0.83035258 0.78282791 0.84784436 0.80768177 0.8451498
 0.8105042  0.81246803]"
