type,size,auc_val_mean,auc_val_std,auc_test_mean,auc_test_std,auc_val,auc_test
deep_ImageNet,1,0.7982321958848247,0.03378053704445042,0.5718697478991597,0.04082288040045575,"[0.78386329 0.82337741 0.79221818 0.80246914 0.78674571 0.81197274
 0.81410974 0.85368792 0.80032217 0.74692049 0.80075452 0.79559796
 0.73792899 0.79       0.74434156 0.80830649 0.78170019 0.8126615
 0.788125   0.88954093]","[0.53911673 0.5512468  0.56542748 0.5689441  0.51513062 0.66353672
 0.5250411  0.6076087  0.60833029 0.51385185 0.5314304  0.54928754
 0.57581293 0.61112532 0.6576772  0.55930307 0.57681768 0.58303343
 0.55028772 0.58438528]"
deep_ImageNet,2,0.8352923634870681,0.031144465268787898,0.8981128973328463,0.008354977263297342,"[0.8179717  0.86312509 0.82130909 0.84171076 0.82307342 0.85512654
 0.84570469 0.91104522 0.84563664 0.79795233 0.83146166 0.83661358
 0.7753677  0.81253846 0.79666373 0.83737218 0.84246185 0.84480924
 0.80930556 0.89659783]","[0.87693643 0.90574077 0.90698301 0.90195926 0.89508129 0.91525393
 0.8987943  0.89788546 0.9080654  0.89424096 0.894789   0.8891624
 0.88805261 0.90620205 0.89823255 0.88907563 0.89812751 0.90296401
 0.9000274  0.89468396]"
deep_ImageNet,3,0.8349849060862351,0.03307149773717706,0.9068475977347463,0.003778296180059127,"[0.8022132  0.87399301 0.82065455 0.84112287 0.80992552 0.85188189
 0.8456247  0.90696812 0.84157445 0.81578947 0.81452886 0.83999399
 0.75441985 0.81830769 0.80731922 0.83345006 0.8535159  0.8501292
 0.82243056 0.895855  ]","[0.90078096 0.90874132 0.89893131 0.906097   0.90516533 0.9120433
 0.91074626 0.91021191 0.90850384 0.90580471 0.9032152  0.90265345
 0.905654   0.9108787  0.90947662 0.9109198  0.90817501 0.90829375
 0.90078553 0.90987395]"
deep_ImageNet,4,0.8487361173907415,0.03174350076520072,0.8948349013518451,0.014970448202381125,"[0.82301443 0.86517708 0.83585455 0.84259259 0.82732938 0.87856911
 0.85954247 0.91308377 0.8366718  0.82442809 0.83032111 0.8496845
 0.78933294 0.81869231 0.81878307 0.85985432 0.87576665 0.8621371
 0.83854167 0.92534542]","[0.83578736 0.90011874 0.90878243 0.90953142 0.8959125  0.90178571
 0.89033157 0.90143405 0.8963418  0.89245068 0.8947616  0.88614815
 0.89033157 0.90227439 0.90219218 0.89246438 0.88869657 0.90226069
 0.8999589  0.90513336]"
deep_ImageNet,5,0.85874128626202,0.028099695856276023,0.8970387285348924,0.010683944659463294,"[0.83905309 0.86396109 0.8408     0.85493827 0.84268126 0.87897469
 0.86962086 0.92438844 0.84941869 0.83858583 0.82891735 0.86838942
 0.81600059 0.83076923 0.83583186 0.87631321 0.87405506 0.86958504
 0.84652778 0.92601397]","[0.87262057 0.90454878 0.89794026 0.91320789 0.91314395 0.9088829
 0.89278407 0.90495524 0.8870844  0.89404457 0.90047041 0.9044757
 0.89585312 0.90108239 0.88672817 0.89491688 0.87738856 0.89831019
 0.88630343 0.90603307]"
deep_ImageNet,10,0.8729754843682207,0.02744624372689997,0.9510453964194374,0.008549774739518727,"[0.84605687 0.88432893 0.8544     0.86537331 0.85788114 0.89487346
 0.88193889 0.92957746 0.87028996 0.85474324 0.86681874 0.87935697
 0.81518348 0.84415385 0.84920635 0.88597843 0.89359578 0.88980088
 0.86236111 0.93359085]","[0.94859335 0.9597278  0.94908659 0.95537998 0.95876872 0.94947936
 0.95254841 0.95298685 0.94745616 0.95772744 0.95260322 0.9592711
 0.91915418 0.95204604 0.94414962 0.9585221  0.94938802 0.9463555
 0.95429302 0.95337048]"
deep_ImageNet,20,0.8793129869156096,0.025580665778545116,0.9445469492144685,0.009849488339915245,"[0.85039922 0.89162487 0.86530909 0.8728689  0.874753   0.89811811
 0.88449848 0.92179392 0.86230565 0.86994081 0.86664327 0.89378005
 0.82424603 0.84584615 0.86111111 0.88765934 0.90543432 0.90393677
 0.87180556 0.93418511]","[0.93974242 0.94715016 0.9581202  0.93921264 0.9555992  0.94411765
 0.94736938 0.94815491 0.93415236 0.95180855 0.9459262  0.95293204
 0.91878882 0.95279503 0.92468031 0.9383175  0.95440263 0.9455243
 0.95125137 0.94089331]"
deep_ImageNet,30,0.8835205362291305,0.027486208518747585,0.9379398063573255,0.013757303040725657,"[0.86104496 0.89648883 0.87505455 0.87580835 0.87004104 0.90833874
 0.89489682 0.92976279 0.87589298 0.86738122 0.87945254 0.89242788
 0.81592631 0.85092308 0.86640212 0.88359714 0.91085437 0.90773674
 0.86736111 0.94101917]","[0.93125685 0.9342437  0.95630252 0.93249909 0.95095908 0.94988126
 0.94184326 0.9084947  0.93977896 0.93764158 0.94602667 0.95506942
 0.90233833 0.94502192 0.92678115 0.94976251 0.94974425 0.93013336
 0.93333029 0.93768725]"
deep_ImageNet,40,0.892057429900899,0.023471031779649088,0.9387312751187432,0.010652857929507476,"[0.86748844 0.90804074 0.88596364 0.89432687 0.87718498 0.90298507
 0.88257879 0.93476649 0.87701359 0.8868981  0.89085805 0.89753606
 0.84192542 0.85923077 0.87566138 0.90026614 0.9269719  0.90697674
 0.88583333 0.9386421 ]","[0.9302795  0.93966021 0.94778042 0.93418889 0.93613445 0.93193277
 0.95116003 0.93697479 0.93154001 0.93660029 0.92352941 0.94968031
 0.91794848 0.94885824 0.9314304  0.947616   0.92287176 0.95563573
 0.94981732 0.95098648]"
deep_ImageNet,50,0.8925431634368985,0.02442543236980514,0.937359791742784,0.008969666582980247,"[0.86552738 0.89588083 0.88683636 0.88977072 0.88113695 0.90801428
 0.88737802 0.94570052 0.890741   0.87713966 0.88682225 0.88671875
 0.83910266 0.86061538 0.88947678 0.89340244 0.92340608 0.90986472
 0.89097222 0.94235626]","[0.93975155 0.93752284 0.94408111 0.93329375 0.93565035 0.92542017
 0.94489404 0.94808184 0.91617647 0.93825356 0.94587139 0.95187249
 0.92096273 0.93675557 0.94108513 0.94715016 0.93340336 0.92797771
 0.93929485 0.93969675]"
