type,size,auc_val_mean,auc_val_std,auc_test_mean,auc_test_std,auc_val,auc_test
deep_MNIST,1,0.8254722946287083,0.027435744613891276,0.9193405188162223,0.052146939793824926,"[0.85053929 0.82983736 0.81483636 0.8148883  0.83462532 0.84409474
 0.850024   0.82644552 0.84227483 0.79203327 0.84120021 0.82767428
 0.73406626 0.81830769 0.79776602 0.85411122 0.85387249 0.81402949
 0.82020833 0.8486109 ]","[0.93652722 0.93954604 0.9354631  0.87259773 0.93517081 0.93370022
 0.93579649 0.94215382 0.92279412 0.90177658 0.93689715 0.9399114
 0.70377238 0.9414916  0.94176105 0.91426288 0.93641304 0.94102119
 0.93824443 0.93750913]"
deep_MNIST,2,0.849832462467336,0.028905545705727554,0.6015180854950677,0.054297827197366096,"[0.86139515 0.85301718 0.82632727 0.84810406 0.84100927 0.85926347
 0.86866101 0.87490734 0.86307606 0.8018717  0.88743639 0.85524339
 0.77261922 0.83230769 0.8239271  0.8913013  0.86235915 0.83242134
 0.84888889 0.89251226]","[0.63071794 0.64485294 0.57600475 0.54841524 0.59349196 0.64136829
 0.60951772 0.60781878 0.59509956 0.51473785 0.60337505 0.56641396
 0.50236116 0.62194008 0.70707435 0.50830745 0.59040464 0.61471958
 0.66159573 0.69214468]"
deep_MNIST,3,0.8623078450463266,0.029608706923965833,0.6494240957252466,0.05447117411081433,"[0.8746323  0.87262502 0.83221818 0.86309524 0.83850129 0.8780013
 0.87218045 0.90196442 0.88457767 0.81442969 0.88778733 0.86621094
 0.7855445  0.85507692 0.83619929 0.89158145 0.86478391 0.85446116
 0.85659722 0.9156886 ]","[0.67874498 0.65290007 0.68757307 0.58999817 0.6524662  0.69588966
 0.65815674 0.63997534 0.63568688 0.531097   0.61542748 0.6665053
 0.56192912 0.71151809 0.69077    0.57842528 0.59187066 0.71626324
 0.73138016 0.70190446]"
deep_MNIST,4,0.8660358036981923,0.02598988531210147,0.6108286901717208,0.051746030027478025,"[0.87841434 0.86601307 0.83978182 0.87081129 0.84473324 0.88067813
 0.88929771 0.89529281 0.87785404 0.83618621 0.88357607 0.86823918
 0.7969841  0.86130769 0.84178424 0.90488864 0.87369847 0.84336525
 0.86006944 0.90774031]","[0.6302247  0.65469035 0.5919757  0.58478718 0.62971319 0.7072068
 0.64703142 0.65826635 0.64551973 0.5185559  0.58796584 0.54236847
 0.57626964 0.59767081 0.70614267 0.56468305 0.5149525  0.61256851
 0.62043296 0.62554805]"
deep_MNIST,5,0.865268201124303,0.028112974741180484,0.6364877146510777,0.06188840473820805,"[0.88401737 0.87748898 0.83585455 0.86816578 0.8373613  0.87865023
 0.8849784  0.89418087 0.87561283 0.82658775 0.89270047 0.8671875
 0.79104145 0.85923077 0.83355379 0.90194705 0.88810441 0.84769722
 0.86180556 0.89919774]","[0.66511235 0.66425374 0.60199123 0.58319328 0.64842437 0.69983559
 0.70974151 0.70560833 0.69926927 0.53811655 0.66036719 0.64057819
 0.560116   0.57586774 0.71657837 0.52248356 0.55219675 0.61027128
 0.67228718 0.70346182]"
deep_MNIST,10,0.8707617724538007,0.025243602397410542,0.8095225155279502,0.035059160488987814,"[0.88177616 0.87855297 0.83789091 0.87669018 0.85636115 0.8990915
 0.87202048 0.90326168 0.87729374 0.83842585 0.88243552 0.89287861
 0.80560095 0.85676923 0.85199882 0.89634403 0.8828983  0.8495212
 0.86486111 0.91056307]","[0.83399708 0.79571611 0.78347643 0.82155645 0.77519182 0.78583303
 0.84655645 0.82566679 0.82334216 0.78077274 0.78618926 0.83850932
 0.75906102 0.84076544 0.81000183 0.86141761 0.71829558 0.82972232
 0.81823164 0.85614724]"
deep_MNIST,20,0.8703530587662872,0.026685858145185325,0.8638255845816587,0.03332655985051395,"[0.88653873 0.88052896 0.84487273 0.8574368  0.85529716 0.89649578
 0.87298032 0.90066716 0.88303684 0.84130539 0.88787507 0.87875601
 0.79802407 0.866      0.84656085 0.9062894  0.88632149 0.84511324
 0.86076389 0.9121973 ]","[0.89340519 0.87992327 0.85524297 0.85067592 0.87269821 0.83169529
 0.86191085 0.87886372 0.89342346 0.86375594 0.82205882 0.88224333
 0.78141213 0.87767629 0.87244246 0.9019821  0.7915738  0.87963098
 0.87231458 0.91358239]"
deep_MNIST,30,0.8739982398208438,0.026135443106203263,0.8839039093898429,0.041510001324112845,"[0.88527805 0.88204894 0.84945455 0.86743092 0.85347317 0.89876703
 0.87729963 0.89862861 0.89256198 0.84962406 0.89559572 0.87665264
 0.80641807 0.866      0.83641975 0.90783023 0.89131365 0.85742514
 0.86930556 0.91843708]","[0.88971502 0.84621849 0.89939715 0.86349105 0.87886372 0.85118743
 0.88649982 0.91625868 0.91649616 0.89159664 0.89825082 0.92120022
 0.78543113 0.95223785 0.85629795 0.91624041 0.79007125 0.88156741
 0.92564852 0.91140848]"
deep_MNIST,40,0.8783685182481016,0.024542367218303628,0.8927573529411765,0.027532936985328695,"[0.88723911 0.88022496 0.85338182 0.8643445  0.86092111 0.90509409
 0.87426012 0.89714603 0.90236728 0.84722444 0.90700123 0.88491587
 0.81637201 0.87076923 0.8531746  0.91161227 0.89273998 0.87004104
 0.87277778 0.91576289]","[0.92232371 0.87029594 0.88636281 0.86512605 0.87049689 0.88574169
 0.87083486 0.91251827 0.90754476 0.88299233 0.90939898 0.89327731
 0.84324991 0.937943   0.9016076  0.92152905 0.83152174 0.92808732
 0.89820058 0.91609426]"
deep_MNIST,50,0.8866812732241259,0.022559788740759267,0.9254688070880526,0.028647195805513437,"[0.89242191 0.89116887 0.86472727 0.89432687 0.86441708 0.90314731
 0.88369861 0.92142328 0.90292758 0.85794273 0.91121249 0.89483173
 0.83523993 0.87784615 0.85699588 0.91035159 0.90087006 0.86684907
 0.88375    0.91947705]","[0.9347004  0.89090245 0.9335221  0.90070332 0.87365729 0.89400804
 0.89757947 0.93863719 0.95518816 0.88530325 0.95661308 0.91930946
 0.90862715 0.97609609 0.94194373 0.96336317 0.93080928 0.91462368
 0.92809646 0.96569236]"
