type,size,auc_val_mean,auc_val_std,auc_test_mean,auc_test_std,auc_val,auc_test
gabor,1,0.5,0.0,0.5,0.0,"[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
gabor,2,0.8967781552878646,0.04482310179529952,0.8841555535257581,0.0167322417359688,"[0.86930943 0.91624867 0.92727273 0.88947678 0.88356893 0.90850097
 0.88337866 0.82542624 0.97058412 0.87042073 0.80136866 0.90369591
 0.9713267  0.85892308 0.94400353 0.91371341 0.85636856 0.91184071
 0.86430556 0.96582974]","[0.8854768  0.87749361 0.89629156 0.87793204 0.87739313 0.89629156
 0.86614907 0.859673   0.89867556 0.88075448 0.82878151 0.89396237
 0.9007764  0.88596091 0.89772561 0.89575265 0.88976982 0.88498356
 0.89182499 0.89744246]"
gabor,3,0.9159608315610981,0.046481913587669815,0.9047743880160759,0.03543117937678906,"[0.98375123 0.91320869 0.9536     0.98353909 0.87262502 0.93413368
 0.90593505 0.83598962 0.94887239 0.88865781 0.8469907  0.97791466
 0.94904175 0.84830769 0.90549677 0.86720829 0.92155185 0.94269646
 0.87208333 0.96761254]","[0.9346182  0.83862806 0.93634454 0.93159481 0.82400438 0.91719949
 0.89403544 0.85469492 0.93395141 0.90790099 0.86856047 0.93578736
 0.93875594 0.85895141 0.92588601 0.91187431 0.89575265 0.92107234
 0.93125685 0.9346182 ]"
gabor,4,0.9035763714563811,0.028486705636306568,0.8677699123127512,0.024913897975313945,"[0.91903628 0.9247606  0.93090909 0.92460317 0.91822465 0.9252109
 0.88401856 0.85618977 0.92141757 0.89345705 0.85681699 0.9077524
 0.92972812 0.84784615 0.91358025 0.89662418 0.88489516 0.91913665
 0.86486111 0.95245877]","[0.85993789 0.82608239 0.87378517 0.87587687 0.88189624 0.90618378
 0.87668981 0.86839605 0.89436427 0.85567227 0.89720497 0.88926745
 0.87136463 0.85331567 0.87195835 0.81356412 0.81192912 0.87420533
 0.87079375 0.88291012]"
gabor,5,0.9195931517370438,0.02263132926039073,0.889781010230179,0.020890225217482253,"[0.93094271 0.92369661 0.95098182 0.94062316 0.91822465 0.96252433
 0.89537674 0.90567087 0.93780642 0.88705807 0.91121249 0.91391226
 0.93076809 0.89123077 0.92768959 0.86300602 0.91499073 0.93175255
 0.92125    0.93314515]","[0.87879978 0.87131896 0.85084034 0.90817501 0.89624589 0.91203873
 0.90316039 0.88322981 0.91838692 0.90382262 0.90468579 0.90415144
 0.87624224 0.90904275 0.89347826 0.84230453 0.8576087  0.90205517
 0.90003654 0.87999635]"
gabor,10,0.9492965721233027,0.015589817714314249,0.837673319327731,0.03608893951775001,"[0.94971284 0.95136039 0.93730909 0.96266902 0.93008056 0.95700844
 0.91745321 0.95385471 0.98711304 0.95328747 0.93174241 0.95883413
 0.93121379 0.95630769 0.96457966 0.94312929 0.94736842 0.93616051
 0.9475     0.96924677]","[0.84934235 0.78069967 0.85656741 0.85897424 0.8185696  0.85191816
 0.74528224 0.85152539 0.78957801 0.88457252 0.86945561 0.83239861
 0.87569419 0.87531056 0.86884819 0.84744246 0.78801608 0.85637559
 0.82402265 0.82887285]"
gabor,20,0.9856599689435521,0.007386727298021449,0.49177703690171715,0.02633209537000808,"[0.97940888 0.98647211 0.984      0.99882422 0.98297614 0.98410123
 0.98336266 0.9851742  0.9787085  0.9993601  0.98473416 0.98602764
 0.98440053 0.99292308 0.96987066 0.97982911 0.99928683 0.97750418
 0.99138889 0.98484623]","[0.47468031 0.47345634 0.53150347 0.48854585 0.47788637 0.50590976
 0.51127147 0.48088235 0.47368469 0.54852941 0.54304896 0.47390391
 0.51557362 0.48719401 0.50062112 0.46668798 0.45200037 0.47913774
 0.49418159 0.45684143]"
gabor,30,0.9901874874638332,0.005132321304381246,0.5616993971501643,0.07317883228477662,"[0.98571228 0.98844809 0.98821818 0.99955908 0.98844809 0.98750811
 0.98832187 0.99314307 0.98641266 0.99824028 0.98666433 0.99188702
 0.98662903 0.992      0.98148148 0.98949433 0.99942947 0.98236814
 0.99736111 0.99242312]","[0.50003654 0.54989039 0.5914779  0.5556266  0.54519547 0.65379978
 0.6290464  0.45329741 0.55746255 0.7189715  0.71221228 0.57991414
 0.50977347 0.58042565 0.60738034 0.48335769 0.47204969 0.50742601
 0.54883997 0.47780417]"
gabor,40,0.9929183066119887,0.004638536303554294,0.6023908476434052,0.03396544226423284,"[0.98893402 0.98951208 0.99272727 0.99955908 0.99194406 0.99140169
 0.99120141 0.99499629 0.98417145 0.99968005 0.98894543 0.99594351
 0.98900609 0.99261538 0.98691946 0.99719849 0.9995721  0.9875361
 0.99902778 0.99747437]","[0.57890939 0.60539825 0.61751918 0.60590062 0.61298867 0.65468579
 0.62067958 0.52331019 0.59670259 0.66692547 0.63688345 0.58373219
 0.57980453 0.61188345 0.61904457 0.57830654 0.52986847 0.61783887
 0.6121392  0.59529594]"
gabor,50,0.9933977184244535,0.004361710245196456,0.588519364267446,0.04819989055384209,"[0.98935425 0.99012008 0.99389091 0.99955908 0.99270406 0.99334848
 0.99216125 0.99462565 0.983331   0.99952008 0.98824355 0.99519231
 0.98900609 0.994      0.98912404 0.99593781 0.99942947 0.99103207
 0.99930556 0.99806864]","[0.55378151 0.58881988 0.61579284 0.56142674 0.5979905  0.64135002
 0.64692181 0.50377238 0.61147242 0.67678115 0.65268542 0.5633449
 0.57714651 0.58276398 0.62251553 0.55464925 0.46834125 0.59409938
 0.57155645 0.58517537]"
