type,size,auc_val_mean,auc_val_std,auc_test_mean,auc_test_std,auc_val,auc_test
trad,1,0.9900123461606333,0.005131106663801039,0.5,0.0,"[0.98760331 0.99224806 0.992      1.         0.98837209 0.99253731
 0.9887218  0.99295775 0.98760331 0.9962406  0.98920863 0.98828125
 0.98818898 0.98846154 0.97619048 0.98347107 0.99593496 0.98449612
 0.99166667 0.99606299]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5]"
trad,2,0.9988205931536921,0.0011475956335530242,0.9571314395323345,0.0008353316126339959,"[0.99775879 0.99893601 0.99825455 1.         0.99817601 0.99837768
 0.99808031 0.99814678 0.99971985 1.         0.99649061 0.99594351
 0.9991086  1.         0.99911817 0.99971985 0.99885894 1.
 0.99972222 1.        ]","[0.95713372 0.95798319 0.95713372 0.95696018 0.95779138 0.95777311
 0.9577183  0.95828462 0.95592802 0.95822981 0.958038   0.95717939
 0.9569145  0.95717026 0.95657654 0.95521556 0.95587322 0.95750822
 0.95593716 0.95727987]"
trad,3,0.9986430985208223,0.0013503210796890189,0.954318597004019,0.004596986791823233,"[0.99733856 0.99741602 0.99883636 1.         0.99772002 0.99821544
 0.99696049 0.99796145 0.99985992 1.         0.99666608 0.99519231
 0.9995543  0.99984615 0.99926514 0.99915955 0.99928683 1.
 0.99958333 1.        ]","[0.95313299 0.94382536 0.95190902 0.95500548 0.95212824 0.95695104
 0.95116916 0.95694191 0.95271282 0.95233833 0.96243149 0.96141761
 0.95192729 0.9596456  0.95652174 0.96170077 0.95043844 0.955654
 0.94798137 0.95253928]"
trad,4,0.998666280604587,0.0012313122842433119,0.9532028681037632,0.004333730096361763,"[0.99691834 0.99787202 0.99927273 1.         0.99756802 0.99870214
 0.99696049 0.9983321  0.99957977 0.99984003 0.99684155 0.99579327
 0.99896004 0.99969231 0.99882422 0.99915955 0.99928683 1.
 0.99972222 1.        ]","[0.95153453 0.9439441  0.95039277 0.95402813 0.95511509 0.95000913
 0.94779868 0.95195469 0.9564304  0.95327914 0.95935331 0.95962733
 0.95705152 0.9572616  0.95253928 0.96036719 0.94892218 0.95094995
 0.94764341 0.95585495]"
trad,5,0.9981505699388217,0.0016759269870840535,0.9488093715747169,0.004114205013918804,"[0.99565766 0.99680803 0.9984     1.         0.99711202 0.99756652
 0.99488082 0.99814678 0.99985992 1.         0.9959642  0.99489183
 0.99896004 0.99984615 0.9983833  0.99901947 0.99900157 0.99908801
 0.99972222 0.99970287]","[0.95218305 0.94300329 0.94666606 0.95159847 0.95066679 0.94510413
 0.9471593  0.94885824 0.94770734 0.94253745 0.9528407  0.95644867
 0.94981732 0.95409207 0.94975338 0.95661308 0.94476617 0.94731458
 0.94435513 0.94470223]"
trad,10,0.9981737846548169,0.0014584690103303438,0.5050662221410303,0.009576718309891654,"[0.99719849 0.99711202 0.99796364 1.         0.99741602 0.99821544
 0.99664054 0.99740549 0.9994397  0.99984003 0.9959642  0.99444111
 0.99896004 0.99984615 0.9973545  0.99901947 0.99814577 0.99908801
 0.99972222 0.99970287]","[0.523365   0.50106869 0.4991688  0.50418341 0.51114359 0.49693095
 0.50690537 0.49669346 0.49811838 0.49630983 0.50474059 0.50328827
 0.49804531 0.52134636 0.52619657 0.50167154 0.49578005 0.51920899
 0.49897698 0.49818232]"
trad,20,0.9984702621327601,0.0013516798913136465,0.4956877968578738,0.006527541876171639,"[0.99831909 0.99848001 0.99854545 1.         0.99756802 0.99821544
 0.99728044 0.99740549 0.99775879 1.         0.99666608 0.99459135
 0.9986629  1.         0.99911817 1.         0.99800314 0.99908801
 1.         0.99970287]","[0.49350566 0.49851114 0.49904092 0.49958897 0.49341432 0.50431129
 0.49747899 0.49053708 0.50319693 0.49083851 0.49963464 0.50533431
 0.48021556 0.4894958  0.4911034  0.5003471  0.50192729 0.50017355
 0.4862806  0.48881988]"
trad,30,0.9988637800963452,0.0011497330464903942,0.4938664596273292,0.010402712806932567,"[0.99915955 0.999392   0.99854545 1.         0.99878401 0.99902661
 0.99904015 0.99722016 0.99789887 1.         0.99649061 0.99609375
 0.99881147 1.         0.99897119 1.         0.99814577 0.999696
 1.         1.        ]","[0.49776215 0.49754293 0.49482097 0.49779868 0.50727987 0.50349836
 0.50093168 0.48632627 0.506403   0.48564121 0.48659116 0.5064852
 0.46732737 0.49185239 0.48635367 0.48195104 0.50698758 0.50149799
 0.48256303 0.48771465]"
trad,40,0.998991888561172,0.000982432034608658,0.5918021556448667,0.028219034425568022,"[0.99831909 0.999392   0.99956364 1.         0.99802402 0.99853991
 0.99776036 0.99777613 0.99817902 1.         0.99736796 0.99699519
 0.99940573 0.99984615 0.99985303 1.         0.9995721  0.999392
 1.         0.99985143]","[0.6411308  0.59582572 0.58784253 0.58752284 0.59903179 0.60949032
 0.58717574 0.6137194  0.52797771 0.5855316  0.58757764 0.61998539
 0.57270734 0.59243697 0.53533979 0.6475338  0.6117099  0.57632444
 0.57674461 0.58043478]"
trad,50,0.9997377424069891,0.0003338846874578263,0.6747730179028133,0.07097650515532593,"[0.99985992 1.         0.99970909 1.         0.999544   0.99902661
 0.99984003 0.99944403 0.99873932 1.         0.99964906 0.99984976
 0.99985143 0.99984615 1.         1.         1.         0.999544
 1.         0.99985143]","[0.77837048 0.71361893 0.72194921 0.67599562 0.53664596 0.70917976
 0.68934965 0.72370296 0.66444099 0.63523931 0.62911947 0.77437888
 0.64482097 0.61030325 0.50679576 0.74697662 0.73093716 0.59625502
 0.71519912 0.69218122]"
trad,60,0.9996152711183537,0.00043509643979396833,0.6353078187796857,0.04988967163687828,"[0.99971985 0.999848   0.99970909 1.         0.99893601 0.99853991
 0.99920013 0.99962936 0.99873932 1.         0.99964906 0.99969952
 0.99985143 0.99969231 1.         1.         1.         0.99924001
 1.         0.99985143]","[0.70957252 0.67995068 0.69426379 0.6060285  0.56184691 0.64940628
 0.65918889 0.64056449 0.62112715 0.63779686 0.55946292 0.70327914
 0.60652174 0.62026854 0.54752466 0.68674644 0.65212824 0.55205517
 0.68568688 0.63273657]"
trad,70,0.9995183119088328,0.0004939938747600238,0.6134901351845086,0.036325956007204264,"[0.99971985 0.999696   0.99970909 1.         0.99848001 0.99837768
 0.99920013 0.99925871 0.99873932 1.         0.99929812 0.99954928
 0.99970287 0.99969231 1.         1.         1.         0.99924001
 1.         0.99970287]","[0.66832298 0.64199854 0.65149799 0.59887651 0.56255024 0.59462002
 0.63270004 0.62906467 0.60980088 0.63511144 0.55262148 0.6641487
 0.57605042 0.59736938 0.56236756 0.65455791 0.61832298 0.55765437
 0.65202777 0.61013884]"
