type,size,auc_val_mean,auc_val_std,auc_test_mean,auc_test_std,auc_val,auc_test
gabor,1,0.9913678212214979,0.0042896308835186575,0.6162938436244063,3.905023102503816e-05,"[0.98935425 0.99680803 0.99330909 0.99617872 0.99224806 0.99772875
 0.99040154 0.9777613  0.98991455 0.98640218 0.98929637 0.98873197
 0.98870896 0.99476923 0.99132863 0.99061493 0.99215518 0.99240006
 0.99444444 0.99480018]","[0.61635915 0.61629521 0.61627695 0.61623128 0.61634088 0.61624954
 0.61634088 0.61628151 0.61626324 0.61624954 0.61631348 0.61625868
 0.61629065 0.61630435 0.61630435 0.61625868 0.61637742 0.61630435
 0.61625411 0.61632262]"
gabor,2,0.995403678534263,0.0034321870839357513,0.9227648885641214,0.002447089197976225,"[0.99607788 0.99772002 0.99767273 0.99911817 0.99498404 0.99935107
 0.99040154 0.99796145 0.99019471 0.99184131 0.99877171 0.99744591
 0.99093745 0.99184615 0.99162257 0.99033478 0.99857367 0.99574403
 1.         0.99747437]","[0.92109061 0.91752832 0.92535623 0.92050603 0.92041469 0.92481732
 0.92108148 0.92371666 0.92412313 0.92330106 0.92578553 0.91950128
 0.92675374 0.9229905  0.92551608 0.92511874 0.91922726 0.9221319
 0.92305444 0.92328279]"
gabor,3,0.9962983931207713,0.002657705801336712,0.932974059188893,0.006311091296139301,"[0.99551758 0.99620003 0.9968     1.         0.99498404 0.9995133
 0.9944009  0.99722016 0.99523743 0.99776036 0.99859624 0.99759615
 0.99480018 0.99538462 0.98941799 0.99649811 0.99885894 0.99072807
 0.99972222 0.99673154]","[0.9286719  0.91847826 0.94022653 0.92918341 0.92721958 0.93539459
 0.93040738 0.93915784 0.93502923 0.94126781 0.93861893 0.92708257
 0.94132262 0.9338692  0.94077457 0.93778772 0.92358422 0.9274662
 0.93310194 0.93083668]"
gabor,4,0.9959160866879146,0.0033946461165579697,0.9245309645597368,0.011393791477360124,"[0.99663818 0.99604803 0.9952     1.         0.99604803 1.
 0.99360102 0.99925871 0.99215576 0.99616061 0.99982453 0.99984976
 0.99197742 0.99369231 0.99000588 0.99383667 1.         0.98951208
 0.99986111 0.99465161]","[0.91448666 0.90003654 0.93749543 0.91316222 0.91505298 0.92612349
 0.92039642 0.93691999 0.9278407  0.93879247 0.9323164  0.91444099
 0.93994337 0.92696383 0.93921264 0.93649068 0.90718853 0.92036902
 0.9250274  0.91835952]"
gabor,5,0.9966906796428677,0.0030598840015037387,0.9455825264888563,0.002666664174625276,"[0.99789887 0.99802402 0.99505455 1.         0.99802402 1.
 0.99552072 0.99925871 0.99229584 0.99776036 1.         1.
 0.99316595 0.99538462 0.99074074 0.99439697 1.         0.99148807
 1.         0.99480018]","[0.94389843 0.93818962 0.94825539 0.94367008 0.9435148  0.94667519
 0.9451224  0.9479494  0.94685787 0.94754293 0.94697662 0.94378882
 0.94802704 0.94697662 0.94805901 0.94921904 0.9407015  0.94484837
 0.94610888 0.94526854]"
gabor,10,0.9982393178786234,0.001149832727253245,0.9286431311655095,0.014152453843868451,"[0.99733856 0.99802402 0.99796364 1.         0.99756802 0.99870214
 0.99568069 0.99777613 0.99803894 0.99984003 0.99877171 0.99864784
 0.99688011 0.99892308 0.99603175 0.99817902 0.9995721  0.99817601
 0.99986111 0.99881147]","[0.92401352 0.92315491 0.9430855  0.91793022 0.9084399  0.91641396
 0.91317136 0.94423639 0.92694556 0.94573438 0.94114907 0.92252466
 0.94880343 0.92441085 0.95125594 0.95164414 0.91716295 0.9189989
 0.90864085 0.92514615]"
gabor,20,0.99088708359265,0.006296855059625527,0.8104187979539642,0.047311569503549,"[0.98949433 0.99224806 0.98807273 0.99970606 0.98632011 0.98880597
 0.99072148 0.99462565 0.98837372 1.         0.99087559 0.9936899
 0.98856039 0.99676923 0.97427984 0.98627259 1.         0.98236814
 0.99888889 0.98766899]","[0.76255024 0.79057362 0.85180855 0.80271282 0.73586043 0.77228718
 0.76070515 0.87830654 0.76710815 0.89889478 0.86750091 0.78526672
 0.88291925 0.81881622 0.83776946 0.85721593 0.81701681 0.76062294
 0.77797771 0.78246255]"
gabor,30,0.9929038383250102,0.0043669252358703465,0.8679982645232005,0.03644138237620855,"[0.99187561 0.99027208 0.99170909 0.99985303 0.98860009 0.99059053
 0.9924812  0.99536694 0.99061493 0.99968005 0.99245482 0.99654447
 0.99004606 0.996      0.98383304 0.99229584 0.99971473 0.9870801
 0.99916667 0.98989749]","[0.82341067 0.83040738 0.90090427 0.856403   0.84581659 0.842711
 0.87483559 0.9020095  0.7930855  0.93083668 0.91100658 0.88441725
 0.90230179 0.84019912 0.90339788 0.92417793 0.84720497 0.85001827
 0.84369748 0.85312386]"
gabor,40,0.9924212546418684,0.006648265341251066,0.7875940811107051,0.05794880359622672,"[0.99117523 0.98966408 0.99665455 1.         0.99316005 0.9944841
 0.99408095 0.99555226 0.9761171  0.99968005 0.99192841 0.99714543
 0.99257168 0.99369231 0.97486772 1.         0.9991442  0.99088007
 0.98847222 0.98915466]","[0.72198575 0.7463281  0.79167885 0.78252649 0.7382901  0.72573986
 0.77590427 0.86624041 0.69145049 0.9092985  0.82973146 0.79419985
 0.78663683 0.75368104 0.84946109 0.90126964 0.79622762 0.72563939
 0.76281513 0.80277676]"
gabor,50,0.9916960578651667,0.006952158271534574,0.7559549689440994,0.06355604366721926,"[0.99047486 0.98343213 0.99141818 1.         0.99361605 0.99221285
 0.99600064 0.99592291 0.97464631 0.99888018 0.99122653 0.99624399
 0.99331451 0.99338462 0.97427984 0.99831909 0.99971473 0.98936009
 0.99083333 0.99064032]","[0.67013153 0.69939715 0.78651809 0.78489222 0.69991779 0.64001644
 0.75056631 0.81285166 0.65035623 0.8411582  0.79676653 0.77227804
 0.7685148  0.71477896 0.83116551 0.88112897 0.78979722 0.71189258
 0.72700037 0.78997077]"
gabor,60,0.9903623262463478,0.00863615333120505,0.719895871392035,0.08459228369123441,"[0.9896344  0.98586411 0.99272727 1.         0.99407205 0.99059053
 0.99536074 0.99592291 0.96238969 0.99888018 0.99017371 0.99729567
 0.99049175 0.99076923 0.97420635 0.99593781 0.9995721  0.9878401
 0.98888889 0.98662903]","[0.57616916 0.67187614 0.77962185 0.77067044 0.68645415 0.66656924
 0.67815126 0.80813847 0.55883266 0.85208257 0.72268908 0.76195652
 0.64982645 0.62169346 0.73496529 0.87484472 0.80826635 0.66984837
 0.70747168 0.79778955]"
gabor,70,0.9916756627908825,0.007534185022103195,0.7173100109609061,0.07466734092105484,"[0.99005463 0.99103207 0.99316364 0.99985303 0.99422405 0.99253731
 0.99568069 0.99684952 0.96855302 0.9993601  0.99210388 0.99744591
 0.99301738 0.99369231 0.97369195 0.99523743 0.99743261 0.98936009
 0.98958333 0.99064032]","[0.62869931 0.6830928  0.78195104 0.72889112 0.71820424 0.71065035
 0.72009499 0.80689624 0.58248082 0.82769456 0.70178115 0.76651443
 0.63879247 0.62873584 0.70704238 0.84452868 0.80387285 0.60452137
 0.67528316 0.78647242]"
gabor,80,0.9922078114999303,0.007033889172284342,0.7850634819145048,0.05847896326899914,"[0.99201569 0.99088007 0.99432727 1.         0.99483204 0.99156392
 0.99648056 0.99805411 0.97191483 0.99920013 0.99157747 0.99729567
 0.99331451 0.99292308 0.97450029 0.99313629 0.99928683 0.99027208
 0.98986111 0.99272025]","[0.76511692 0.76373767 0.83732189 0.81675192 0.7758312  0.74542382
 0.75319693 0.76792108 0.78157654 0.88459079 0.73364998 0.81645049
 0.67405919 0.73462733 0.86317136 0.8987669  0.83841798 0.71069602
 0.7221867  0.81777494]"
gabor,90,0.9921310213348816,0.007008447749477251,0.7838143953233467,0.08737929488287226,"[0.99229584 0.99148807 0.99418182 1.         0.99468004 0.99253731
 0.99632059 0.99796145 0.97247514 0.99904015 0.99070012 0.99744591
 0.99227455 0.99276923 0.9739124  0.99243592 0.99942947 0.99012008
 0.99027778 0.99227455]","[0.81900804 0.72248813 0.86268725 0.86075996 0.76623128 0.6931403
 0.7463829  0.76256851 0.82974973 0.86729083 0.74358787 0.84388016
 0.56983924 0.68048045 0.90431129 0.93534892 0.82753014 0.67586774
 0.74156924 0.82356595]"
gabor,100,0.9910345988922084,0.007861032253066134,0.8288020643039825,0.0712040034585658,"[0.98767334 0.99088007 0.98807273 1.         0.99361605 0.98961713
 0.99600064 0.99740549 0.96687211 0.99920013 0.99175294 0.99759615
 0.98930322 0.99292308 0.97435332 0.99523743 0.99893025 0.99012008
 0.99138889 0.98974892]","[0.82469858 0.78101936 0.89723237 0.88819876 0.80422908 0.82354768
 0.81562843 0.81878882 0.8387194  0.89949763 0.72572159 0.87478992
 0.72485385 0.68986116 0.93560468 0.95304165 0.88911217 0.73171355
 0.79725977 0.86252284]"
gabor,max,0.9935904444647605,0.004428941498595338,0.9545063025210083,0.03492527518165428,"[0.99509735 0.99452804 0.9984     0.99808936 0.98882809 0.99351071
 0.99632059 0.99629355 0.98193024 0.98928171 0.99684155 0.99684495
 0.99108602 0.98553846 0.99470899 0.99845917 0.9991442  0.99194406
 0.99194444 0.99301738]","[0.98126598 0.97729266 0.97949397 0.97520095 0.96601206 0.97921081
 0.98101023 0.9511509  0.93454512 0.98484655 0.94608148 0.96919985
 0.94052795 0.86048593 0.941962   0.98302886 0.94094812 0.86249543
 0.97226891 0.96309828]"
