type,size,auc_val_mean,auc_val_std,auc_test_mean,auc_test_std,auc_val,auc_test
trad,1,0.9987966198062616,0.0011701188399023269,0.8039824625502374,0.0,"[0.99775879 0.99878401 0.99825455 1.         0.99802402 0.99837768
 0.99808031 0.99814678 0.99971985 1.         0.99631514 0.99594351
 0.9991086  1.         0.99911817 0.99971985 0.99885894 1.
 0.99972222 1.        ]","[0.80398246 0.80398246 0.80398246 0.80398246 0.80398246 0.80398246
 0.80398246 0.80398246 0.80398246 0.80398246 0.80398246 0.80398246
 0.80398246 0.80398246 0.80398246 0.80398246 0.80398246 0.80398246
 0.80398246 0.80398246]"
trad,2,0.9987966198062616,0.0011701188399023098,0.8283430763609794,0.006195364058970277,"[0.99775879 0.99878401 0.99825455 1.         0.99802402 0.99837768
 0.99808031 0.99814678 0.99971985 1.         0.99631514 0.99594351
 0.9991086  1.         0.99911817 0.99971985 0.99885894 1.
 0.99972222 1.        ]","[0.82180307 0.8253471  0.83109244 0.83407015 0.82780417 0.82644319
 0.8217848  0.82695469 0.8245707  0.82436975 0.82762148 0.82461637
 0.83215199 0.84026306 0.82998721 0.83976982 0.82148338 0.8407837
 0.8189167  0.82702777]"
trad,3,0.9987214635996958,0.001306335064093779,0.894783065400073,0.021076414763560546,"[0.99789887 0.99878401 0.99781818 1.         0.99817601 0.99870214
 0.99824028 0.99740549 0.99985992 1.         0.99666608 0.99489183
 0.9995543  1.         0.99911817 0.99929962 0.99843104 1.
 0.99958333 1.        ]","[0.89122214 0.87650712 0.90630252 0.86852393 0.87733833 0.91704421
 0.88213372 0.92086226 0.87559372 0.87222324 0.93149434 0.93230727
 0.87713738 0.91116186 0.8891487  0.92144684 0.90350749 0.89057362
 0.86357326 0.88755937]"
trad,4,0.9986006386121336,0.001442576710452612,0.9010298684691269,0.028750947019795133,"[0.99789887 0.99878401 0.99767273 1.         0.99832801 0.99837768
 0.99792033 0.99684952 0.99985992 1.         0.99649061 0.99429087
 0.99940573 0.99984615 0.99911817 0.99915955 0.9982884  1.
 0.99972222 1.        ]","[0.89694008 0.87091706 0.92183047 0.86350932 0.86961089 0.92797771
 0.90063939 0.9374863  0.87773109 0.88112897 0.94992693 0.94769821
 0.88447205 0.92351114 0.90018268 0.93242601 0.91969309 0.87004019
 0.85649434 0.88838144]"
trad,5,0.9985179403132453,0.0014204724147597002,0.9039609974424552,0.0325765543369868,"[0.99789887 0.99878401 0.99752727 1.         0.99832801 0.99870214
 0.99776036 0.9966642  0.99985992 1.         0.99649061 0.99429087
 0.99940573 0.99984615 0.9983833  0.99915955 0.99843104 0.999392
 0.99958333 0.99985143]","[0.89549689 0.86001096 0.93404275 0.86438619 0.87001279 0.93960541
 0.87668067 0.94975338 0.87470771 0.89423639 0.94631896 0.94445561
 0.87594995 0.9229357  0.91571977 0.93660029 0.93466387 0.89503106
 0.84290281 0.90570881]"
trad,10,0.9986814450716605,0.001212049183146035,0.5088162221410304,0.009916703413461576,"[0.99789887 0.99848001 0.99854545 1.         0.99832801 0.99902661
 0.99760038 0.99740549 0.99957977 1.         0.99666608 0.99519231
 0.9991086  1.         0.99882422 0.9994397  0.9987163  0.999392
 0.99972222 0.99970287]","[0.52018634 0.49777128 0.51034892 0.49845634 0.51335404 0.50256668
 0.49890391 0.50258495 0.51672452 0.49804531 0.50896967 0.51633175
 0.49482097 0.51802156 0.53330289 0.51680672 0.51434052 0.51329923
 0.50569967 0.49578919]"
trad,20,0.9985897424792611,0.0010568548139302757,0.5678735842162952,0.012667163434261827,"[0.99859924 0.99832801 0.9984     1.         0.99878401 0.99805321
 0.99760038 0.99814678 0.99803894 1.         0.99719249 0.99594351
 0.99881147 0.99953846 0.99882422 0.99971985 0.99928683 0.99711202
 0.99986111 0.9995543 ]","[0.55776398 0.57490866 0.55541651 0.56344538 0.57351114 0.5850749
 0.5657837  0.56715382 0.5927932  0.55951772 0.55761783 0.56407563
 0.5499452  0.57708257 0.55075813 0.56960175 0.55957252 0.59106686
 0.55689624 0.58548593]"
trad,30,0.9976704464295537,0.003699036192743109,0.5612531969309462,0.019446854789411962,"[0.99887939 0.99832801 0.99781818 0.99750147 0.99848001 0.99740428
 0.99728044 0.99870274 0.98221039 1.         0.9977189  0.99714543
 0.99851434 0.99969231 0.99897119 1.         0.99885894 0.99620003
 1.         0.99970287]","[0.55434783 0.58532152 0.54875776 0.57152905 0.6015802  0.59993606
 0.55021922 0.56072342 0.55954512 0.57299963 0.55804713 0.54924187
 0.51890756 0.55132444 0.53797041 0.55103215 0.54706796 0.55937157
 0.58021556 0.56692547]"
trad,40,0.995112721393266,0.004408474567065924,0.7121757398611618,0.06339495052744949,"[0.99705841 0.98685211 0.99810909 0.9973545  0.98951208 0.98880597
 0.98784195 0.99110452 0.99775879 1.         0.99824531 0.99714543
 0.9986629  0.99369231 0.99911817 0.9994397  0.9987163  0.98996808
 1.         0.99286882]","[0.70416514 0.9052247  0.66990318 0.68902996 0.80084034 0.74902265
 0.7096456  0.77297223 0.70601023 0.68885641 0.70266715 0.66852393
 0.66361893 0.71484289 0.65300512 0.74774388 0.65926197 0.62164779
 0.6488217  0.767711  ]"
trad,50,0.9964327000645012,0.0032322317821149695,0.7308065400073074,0.047993064430694,"[0.99593781 0.98920809 0.99883636 0.99941211 0.99270406 0.98977936
 0.99344105 0.99536694 0.9994397  1.         0.99824531 0.99639423
 0.99970287 0.99569231 0.99941211 0.99705841 0.9991442  0.99437604
 1.         0.99450305]","[0.76488856 0.82508221 0.75695104 0.70252101 0.73951407 0.76213007
 0.71580197 0.73523931 0.75288637 0.67657106 0.75152539 0.76191999
 0.66591158 0.8048228  0.63727621 0.77737486 0.71674278 0.67415966
 0.66453233 0.7302795 ]"
