feature,rem vs. tum
ft511,0.8175849689780311
ft1758,0.7551605728333399
ft1987,0.751180395676435
ft1739,0.749448823506458
ft1834,0.7338110196277363
ft249,0.7314258399344441
ft573,0.7185975728723611
ft1829,0.7094568228821165
ft168,0.7086568853162679
ft356,0.7052620283294964
ft1787,0.7005697116322627
ft567,0.6922191438716979
ft469,0.6867464002809537
ft830,0.6834881180005463
ft1725,0.6808444218987786
ft1557,0.680595660826472
ft1505,0.6805761501541343
ft1786,0.6800347289967612
ft673,0.678664104265033
ft879,0.6769227767588871
ft1743,0.6748839114995904
ft500,0.6727035938658447
ft1823,0.6716012408787606
ft113,0.6712793147851874
ft1924,0.6709817770320364
ft1916,0.6704110898661567
ft1683,0.6692502048620596
ft1149,0.6678990908026691
ft1331,0.6675039996878294
ft596,0.6652456393647326
ft1503,0.6650115112966793
ft1066,0.6642798610840128
ft1302,0.6629531353650446
ft582,0.6627775393140047
ft779,0.6618117610332852
ft1033,0.6609337807780856
ft912,0.6604265032973036
ft1738,0.6557536972724081
ft1859,0.6541830881492176
ft1908,0.6541245561322043
ft1334,0.6537977523705467
ft838,0.6532758418855114
ft1600,0.6524515159792407
ft1655,0.6524173723026496
ft422,0.650734576813517
ft1071,0.6507053108050104
ft1048,0.6495102821243219
ft441,0.6482128224138604
ft1770,0.6478713856479494
ft275,0.6469202403714833
ft4,0.64668611230343
ft1638,0.6464373512311234
ft670,0.6461251804737191
ft1026,0.6460178717758615
ft675,0.6453788972567995
ft623,0.6452618332227729
ft549,0.6442277675888711
ft1776,0.6439448628399734
ft689,0.6435058727123737
ft343,0.6434229523549382
ft1950,0.6433985640145159
ft72,0.6432229679634761
ft119,0.6429937175635072
ft2026,0.6428083661762984
ft835,0.6423596207125297
ft906,0.6421986576657431
ft1917,0.6421206149763921
ft1339,0.6417645452062278
ft496,0.6412962890701213
ft491,0.6404768408319351
ft734,0.6396134935809887
ft692,0.6395256955554689
ft1224,0.6391257267725445
ft1803,0.6370819838451633
ft485,0.63693565380263
ft1147,0.636560073360128
ft501,0.6363844773090881
ft1178,0.6352772466539198
ft1159,0.6349455652241777
ft99,0.6345065750965778
ft1374,0.634277324696609
ft1762,0.633360323096734
ft47,0.6327750029266008
ft945,0.6327359815819252
ft624,0.6323994224840989
ft1164,0.6310385530885395
ft1518,0.6310336754204551
ft487,0.6309312443906818
ft1389,0.630858079369415
ft1470,0.6306532173098686
ft1416,0.6302044718460997
ft292,0.6299459554376244
ft579,0.6297215827057401
ft1427,0.6294581886291801
ft1598,0.6290045654973271
ft489,0.6280387872166076
ft798,0.6279704998634253
ft1361,0.62731689234011
ft1265,0.6272193389784212
ft637,0.6271900729699146
ft1520,0.6268876575486793
ft2019,0.6263267257189683
ft244,0.6258243259062708
ft1673,0.6258145705701019
ft1239,0.6255072774807819
ft752,0.6250536543489289
ft1280,0.6245756428766536
ft727,0.6233220821789518
ft1796,0.622805049362001
ft618,0.6223465485620634
ft228,0.6223221602216413
ft375,0.6222733835407968
ft1939,0.6219709681195614
ft1540,0.6216002653451438
ft2036,0.621512467319624
ft1995,0.6213954032855973
ft1665,0.6209173918133218
ft543,0.6207174074218598
ft1240,0.6205857103835798
ft110,0.6204588910133844
ft289,0.6203710929878644
ft1800,0.6201467202559799
ft1194,0.6198686931751669
ft730,0.6198638155070824
ft1385,0.6197760174815624
ft1342,0.6196345651071137
ft1226,0.6196199321028603
ft1150,0.6190931439497405
ft326,0.6189370585710383
ft273,0.6187760955242517
ft1807,0.6173908377882702
ft1222,0.6169762360010926
ft1608,0.6168981933117414
ft1873,0.6166738205798572
ft1612,0.6166006555585906
ft1271,0.6162104421118353
ft2025,0.6158543723416708
ft815,0.6156690209544622
ft2018,0.6155178132438445
ft999,0.6153958715417334
ft390,0.6152641745034534
ft796,0.6150349241034847
ft1089,0.6149763920864714
ft2046,0.6148154290396847
ft1985,0.6147715300269248
ft464,0.6147276310141648
ft686,0.614454481601436
ft1601,0.6143813165801693
ft1969,0.6142593748780583
ft54,0.6142154758652983
ft1082,0.6140691458227651
ft1345,0.6135082139930543
ft1379,0.6135082139930542
ft1196,0.6135082139930542
ft1568,0.6131326335505521
ft247,0.6130155695165255
ft1323,0.6130106918484411
ft1645,0.6129863035080189
ft894,0.6129570374995122
ft817,0.6126838880867835
ft1896,0.6121570999336639
ft1623,0.6116156787762907
ft1223,0.6114400827252507
ft397,0.6111961993210286
ft30,0.6110254809380732
ft19,0.6108791508955399
ft701,0.6108450072189489
ft1812,0.6108059858742731
ft698,0.6104108947594333
ft1397,0.6103426074062512
ft150,0.610230421040309
ft801,0.6100889686658602
ft1712,0.6098645959339759
ft1997,0.609645100870176
ft1989,0.6096158348616694
ft426,0.6093524407851094
ft1135,0.6093182971085184
ft350,0.6092987864361806
ft1330,0.6092646427595895
ft387,0.609259765091505
ft1820,0.6091817224021541
ft1130,0.6090744137042963
ft677,0.6088500409724119
ft1035,0.6088354079681586
ft565,0.6087134662660476
ft1813,0.608640301244781
ft196,0.6086256682405276
ft1685,0.6085037265384166
ft367,0.6084403168533188
ft80,0.608376907168221
ft87,0.6083671518320521
ft2030,0.6080891247512388
ft1045,0.6079818160533812
ft700,0.6077671986576657
ft1438,0.6071038357981816
ft1816,0.6069867717641549
ft1731,0.6066355796620753
ft551,0.6063185312365864
ft62,0.6062746322238265
ft1900,0.606225855542982
ft1282,0.6058941741132399
ft11,0.6055820033558356
ft933,0.6055576150154134
ft1599,0.6054064073047958
ft814,0.6051576462324891
ft939,0.6046113474070317
ft1876,0.6044747727006672
ft365,0.6042455223006985
ft1555,0.6042211339602762
ft1357,0.6039040855347876
ft1903,0.6038357981816054
ft1057,0.6036845904709877
ft270,0.6036602021305655
ft1199,0.6036260584539743
ft1456,0.6036065477816366
ft650,0.6035577711007921
ft965,0.6034894837476099
ft1878,0.6034163187263433
ft1670,0.6033333983689078
ft788,0.6032260896710502
ft555,0.60322608967105
ft1375,0.6031968236625435
ft793,0.6030065946072501
ft1947,0.6029139189136458
ft1107,0.6027383228626059
ft1214,0.6026944238498458
ft1853,0.602474928786046
ft250,0.6024066414328638
ft260,0.6022944550669216
ft584,0.6021237366839662
ft740,0.601879853279744
ft1577,0.6016310922074375
ft1022,0.6015920708627619
ft1392,0.6013920864712998
ft56,0.6012018574160065
ft539,0.6010165060287977
ft1855,0.60099699535646
ft1062,0.6008360323096734
ft1999,0.6008018886330823
ft13,0.6005189838841847
ft1795,0.6001482811097669
ft1618,0.5999629297225583
ft1024,0.5999434190502204
ft753,0.5997044133140828
ft1075,0.599562960939634
ft68,0.5994849182502828
ft575,0.5994654075779452
ft961,0.5994458969056073
ft94,0.5994215085651852
ft1414,0.5991727474928786
ft717,0.5991532368205408
ft408,0.5989776407695009
ft236,0.5988995980801499
ft1118,0.5986654700120966
ft1387,0.5986069379950834
ft212,0.59841670893979
ft1368,0.5983679322589457
ft261,0.5983337885823545
ft561,0.5982850119015102
ft556,0.597753346080306
ft1102,0.597577750029266
ft481,0.5975631170250126
ft431,0.5971046162250752
ft280,0.5970558395442307
ft1136,0.5968704881570219
ft1454,0.5968558551527685
ft648,0.5961437156124401
ft1646,0.5961095719358489
ft1724,0.5960900612635112
ft230,0.5960364069145823
ft199,0.5959729972294845
ft819,0.5958071565146135
ft508,0.5953584110508449
ft1964,0.5953242673742537
ft1508,0.595085261638116
ft1040,0.5950267296211027
ft1954,0.5949633199360049
ft1247,0.5944950637998985
ft923,0.5944072657743786
ft952,0.5943731220977875
ft1061,0.5943145900807741
ft1934,0.5940853396808055
ft252,0.5939829086510322
ft1821,0.5937000039021345
ft1700,0.5935390408553478
ft1674,0.5933049127872947
ft733,0.5931244390681703
ft1842,0.593022008038397
ft306,0.5929195770086237
ft660,0.592470831544855
ft205,0.592426932532095
ft1064,0.5924122995278417
ft1059,0.5922854801576463
ft459,0.5917879580130332
ft48,0.5917586920045266
ft784,0.5917391813321887
ft395,0.5916123619619933
ft1060,0.5914952979279666
ft802,0.5914855425917978
ft1818,0.5913636008896865
ft124,0.5913538455535178
ft642,0.591256292191829
ft388,0.5909441214344247
ft248,0.5907734030514692
ft1583,0.590441721621727
ft1527,0.5903539235962072
ft829,0.5902466148983494
ft503,0.590153939204745
ft1686,0.5900905295196472
ft20,0.5898515237835096
ft1729,0.5898320131111718
ft1633,0.589700316072892
ft749,0.5896954384048074
ft874,0.5895930073750341
ft897,0.5891881609240255
ft1399,0.5888369688219457
ft963,0.5887589261325946
ft1498,0.5886808834432435
ft15,0.5886564951028213
ft413,0.5885052873922036
ft950,0.5884516330432745
ft1837,0.5884418777071058
ft519,0.5884321223709369
ft1166,0.5884321223709369
ft151,0.5884028563624303
ft155,0.5882760369922347
ft1750,0.5881394622858704
ft1161,0.5881199516135326
ft620,0.5881199516135326
ft1294,0.5876175518008351
ft1403,0.5875834081242439
ft2047,0.5874419557497952
ft1283,0.5874224450774574
ft73,0.5873931790689507
ft946,0.5873883014008663
ft523,0.5872566043625863
ft595,0.5872517266945019
ft373,0.587163928668982
ft1144,0.5868615132477464
ft1198,0.5867542045498888
ft57,0.5866761618605377
ft1936,0.5863444804307956
ft761,0.5859396339797869
