feature,rem vs. tum
ft812,0.832608186678113
ft430,0.8309497795294025
ft317,0.8177605650290709
ft4,0.8162192219143872
ft1972,0.8133999297615797
ft953,0.8104538182385765
ft982,0.8073418660007023
ft789,0.8056054161626409
ft1781,0.8041421157373083
ft1541,0.8039177430054241
ft1139,0.8029812307332111
ft1737,0.8020300854567449
ft1979,0.7996839271081282
ft479,0.7961134740703165
ft419,0.7922503609474383
ft1036,0.7845777890506107
ft134,0.7813585281148788
ft1999,0.7767881531197566
ft989,0.774544425800913
ft1728,0.7744224840988021
ft1121,0.7729055293245406
ft1692,0.771588558941741
ft712,0.7700862371717329
ft786,0.7697740664143288
ft1194,0.7689302298357202
ft1401,0.7682278456315605
ft1533,0.7671986576657432
ft535,0.7658329106020992
ft137,0.7655841495297928
ft1762,0.7634965075896516
ft579,0.7630233737854606
ft1811,0.7613454559644125
ft70,0.7609845085261637
ft1382,0.759696804151871
ft384,0.7592626916923558
ft1152,0.7580481523393297
ft936,0.7562580481523393
ft279,0.7527510047996255
ft1655,0.7520681312678036
ft221,0.7519803332422835
ft1098,0.7519218012252703
ft1288,0.7517852265189059
ft1973,0.7502829047488977
ft441,0.749614664221329
ft446,0.7492634721192493
ft1609,0.7484098802044717
ft1387,0.7475416552854411
ft785,0.746888047762126
ft584,0.744849182502829
ft467,0.7435273344519453
ft277,0.7435029461115229
ft1471,0.7433761267413275
ft541,0.7427127638818434
ft548,0.7421908533968081
ft288,0.7398934717290359
ft1672,0.738405782963281
ft289,0.7378594841378234
ft1802,0.7378009521208101
ft832,0.7377521754399656
ft1448,0.7375619463846724
ft575,0.737513169703828
ft736,0.7372985523081126
ft130,0.7371619776017482
ft1610,0.7367863971592461
ft241,0.7366156787762905
ft724,0.7365522690911929
ft843,0.7364254497209974
ft509,0.7363571623678151
ft73,0.7362937526827175
ft738,0.7357669645295978
ft1970,0.7357084325125843
ft503,0.7356986771764155
ft1192,0.7349084949467359
ft1417,0.7341670893979007
ft1801,0.7341573340617318
ft519,0.7332695984703633
ft1205,0.7323038201896438
ft1096,0.7307332110664534
ft556,0.7302747102665158
ft1107,0.7301381355601514
ft75,0.7296113474070316
ft686,0.7286211807858898
ft339,0.7284358293986811
ft1606,0.7280602489561789
ft1619,0.7272212900456549
ft1574,0.7249629297225583
ft674,0.7247239239864206
ft574,0.7237191243610255
ft1221,0.7234118312717056
ft1256,0.7222558239356929
ft1803,0.7216022164123777
ft614,0.7215046630506887
ft1683,0.7212412689741289
ft547,0.7211290826081868
ft590,0.7206803371444179
ft539,0.7203389003785071
ft182,0.7201535489912982
ft2024,0.7199633199360049
ft984,0.719026807663792
ft1091,0.7184463651617434
ft1335,0.7178171459788505
ft1493,0.7177342256214149
ft1741,0.7176171615873883
ft756,0.7169391657236508
ft611,0.7165538299449798
ft741,0.7165001755960511
ft711,0.7161002068131267
ft1081,0.7159246107620869
ft1994,0.7158319350684825
ft378,0.7149978538260429
ft210,0.714988098489874
ft183,0.7140369532134077
ft1339,0.7128419245327193
ft641,0.7124224450774573
ft894,0.7122175830179108
ft1242,0.7117005502009599
ft1878,0.7115639754945955
ft372,0.7109591446521247
ft1413,0.7098616693331252
ft943,0.7097397276310142
ft648,0.7086373746439303
ft1825,0.7082081398524993
ft381,0.7078910914270106
ft1671,0.7078667030865884
ft946,0.7075350216568463
ft732,0.7068960471377843
ft931,0.706549732703789
ft1425,0.7058863698443048
ft1723,0.7058278378272915
ft6,0.7056619971124204
ft66,0.7054522573847894
ft1193,0.7054181137081984
ft15,0.7053010496741718
ft1877,0.7052620283294964
ft426,0.7049986342529364
ft639,0.7046181761423499
ft1501,0.7042474733679323
ft1985,0.7041206539977367
ft871,0.7038670152573457
ft744,0.7038670152573456
ft1188,0.7022964061341554
ft1158,0.7021939751043821
ft1023,0.7019110703554845
ft1217,0.701530612244898
ft1141,0.7014964685683068
ft2028,0.701198930815156
ft790,0.7010184570960316
ft1995,0.7007745736918094
ft457,0.7004087485854762
ft1851,0.7001404768408319
ft755,0.6994478479728412
ft1729,0.6989210598197213
ft1240,0.698818628789948
ft98,0.6986674210793304
ft517,0.6975797010964999
ft1421,0.6971943653178289
ft1828,0.6967943965349046
ft1497,0.6962773637179538
ft1907,0.6956822882116517
ft1623,0.6953018301010653
ft815,0.6950335583564209
ft1554,0.6946774885862567
ft1230,0.6944092168416124
ft1913,0.6943750731650211
ft1840,0.6942238654544035
ft1812,0.6936726889608615
ft1599,0.6930288367737152
ft1514,0.6929410387481952
ft1267,0.6928727513950131
ft461,0.6925313146291021
ft486,0.6925118039567644
ft1097,0.6924142505950754
ft1794,0.6921020798376714
ft1101,0.6919850158036447
ft949,0.6916435790377337
ft867,0.6915948023568892
ft1513,0.6915850470207203
ft1085,0.6908826628165607
ft700,0.6904144066804543
ft1710,0.6902534436336677
ft1265,0.6900876029187966
ft126,0.6900827252507121
ft671,0.6895461817614235
ft303,0.6893461973699614
ft1854,0.689243766340188
ft1542,0.6889608615912903
ft1823,0.688814531548757
ft1626,0.688360908416904
ft1835,0.6880828813360909
ft1061,0.6879950833105709
ft655,0.6877268115659265
ft1200,0.6873804971319312
ft528,0.6868244429703048
ft573,0.6863513091661139
ft1910,0.6861610801108206
ft81,0.6861513247746518
ft417,0.6858098880087408
ft978,0.6855952706130254
ft679,0.6854196745619854
ft1586,0.6847953330471768
ft53,0.6847172903578258
ft1103,0.684600226323799
ft1898,0.6839856401451594
ft1116,0.683629570374995
ft1872,0.6836149373707417
ft1881,0.6836003043664884
ft1241,0.6835807936941507
ft1052,0.6834100753111952
ft1305,0.6829125531665822
ft1496,0.6820931049283958
ft998,0.6818687321965116
ft1677,0.6817370351582315
ft482,0.6816346041284582
ft1751,0.6808883209115386
ft1370,0.6808785655753697
ft772,0.680824911226441
ft1156,0.6807566238732587
ft1330,0.6806005384945565
ft106,0.6804444531158544
ft2022,0.6799079096265658
ft25,0.6798298669372147
ft190,0.6798201116010458
ft1752,0.6793616108011082
ft1545,0.6787567799586374
ft360,0.6786592265969486
ft1077,0.6785226518905841
ft1928,0.6782690131501932
ft211,0.6779958637374643
ft581,0.6779275763842821
ft704,0.6778153900183401
ft1272,0.6776397939673
ft1896,0.6776349162992157
ft826,0.6773422562141491
ft1190,0.6772642135247982
ft1046,0.6771569048269404
ft315,0.6767715690482693
ft1352,0.6767276700355095
ft1442,0.6763764779334296
ft281,0.6760252858313497
ft448,0.6759082217973231
ft1611,0.675752136418621
ft1062,0.6753716783080346
ft28,0.6750887735591369
ft1717,0.6748205018144926
ft199,0.6745034533890039
ft119,0.6744010223592305
ft1332,0.6742498146486127
ft1433,0.6742010379677683
ft945,0.674152261286924
ft1424,0.6740449525890662
ft1941,0.6735620634487065
ft1810,0.6733815897295821
ft521,0.6732011160104576
ft429,0.6724792211339602
ft1749,0.6722694814063293
ft114,0.6722402153978225
ft1051,0.671869512623405
ft1520,0.6715622195340851
ft757,0.6715329535255785
ft1596,0.6714890545128185
ft1439,0.671186639091583
ft1538,0.6711378624107386
ft908,0.6709330003511922
ft1903,0.6707037499512233
ft1674,0.6705330315682678
ft1813,0.669972099738557
ft570,0.6699525890662192
ft374,0.6699379560619658
ft903,0.6695672532875483
ft1296,0.6692794708705663
ft1511,0.669255082530144
ft393,0.6692063058492995
ft1537,0.6691575291684552
ft1321,0.669001443789753
ft1705,0.6689526671089085
ft1302,0.6685673313302376
ft1315,0.6679478674835134
ft1056,0.6670796425644828
ft900,0.6670064775432162
ft1912,0.6664162797049986
ft1183,0.6662699496624654
ft1134,0.6662699496624653
ft1111,0.6659675342412299
ft644,0.6659285128965544
ft1958,0.6656163421391501
ft1037,0.6654309907519412
ft1298,0.6654114800796035
ft506,0.6654017247434347
ft1316,0.6646310531860927
ft174,0.6642457174074219
ft328,0.6642115737308308
